date,net_pts,round_trips,net_usd
2017-03-28,-5.476606792058596,4,-273.83033960292977
2017-03-29,0.0,0,0.0
2017-03-30,-12.68428546618951,19,-634.2142733094755
2017-03-31,0.0,0,0.0
2017-04-03,-5.690048488574955,6,-284.50242442874776
2017-04-04,-2.214568514032155,2,-110.72842570160775
2017-04-05,-21.533535740915106,18,-1076.6767870457552
2017-04-06,-19.556225140400073,20,-977.8112570200037
2017-04-07,-3.938004365779281,2,-196.90021828896406
2017-04-10,-1.529724984430206,2,-76.4862492215103
2017-04-11,-8.589441579815343,9,-429.47207899076716
2017-04-12,-40.33723170917865,37,-2016.8615854589327
2017-04-13,-0.8452644574269286,5,-42.26322287134643
2017-04-17,-31.213059177533978,34,-1560.652958876699
2017-04-18,0.0,0,0.0
2017-04-19,-10.63483591900749,11,-531.7417959503745
2017-04-20,3.8770942129499923,4,193.85471064749962
2017-04-21,-36.10942959891549,38,-1805.4714799457745
2017-04-24,0.0,0,0.0
2017-04-25,-3.592191078023865,4,-179.60955390119324
2017-04-26,-51.896850874682315,48,-2594.8425437341157
2017-04-27,-1.732835211284939,2,-86.64176056424695
2017-04-28,-48.84296428248211,55,-2442.1482141241054
2017-05-01,0.0,0,0.0
2017-05-02,-3.9332791759783907,4,-196.66395879891954
2017-05-03,-3.3752375310700193,4,-168.76187655350097
2017-05-04,-5.16776442599683,5,-258.3882212998415
2017-05-05,0.6441313356015271,1,32.20656678007636
2017-05-08,-16.69927262447325,16,-834.9636312236624
2017-05-09,-3.9879460784824987,3,-199.39730392412494
2017-05-10,-0.2896571390635799,1,-14.482856953178997
2017-05-11,-12.24899100985734,12,-612.449550492867
2017-05-12,-12.682101060461543,14,-634.1050530230772
2017-05-15,-0.007178084885923447,1,-0.35890424429617235
2017-05-16,-25.218160121608545,26,-1260.9080060804272
2017-05-17,-8.662566857699781,6,-433.1283428849891
2017-05-18,-16.605640756084096,17,-830.2820378042048
2017-05-19,3.177813013331401,1,158.89065066657005
2017-05-22,-28.848755579246035,33,-1442.4377789623018
2017-05-23,0.0,0,0.0
2017-05-24,0.0,0,0.0
2017-05-25,-29.666383174877467,30,-1483.3191587438732
2017-05-26,0.0,0,0.0
2017-05-29,0.0,0,0.0
2017-05-30,0.0,0,0.0
2017-05-31,-21.28226304269036,19,-1064.113152134518
2017-06-01,3.505448108845801,7,175.27240544229005
2017-06-02,-3.20557651879988,5,-160.27882593999402
2017-06-05,0.0,0,0.0
2017-06-06,0.0,0,0.0
2017-06-07,0.0,0,0.0
2017-06-08,-8.963007261805968,8,-448.1503630902984
2017-06-09,-3.2900945202008587,4,-164.50472601004293
2017-06-12,-22.33352225414274,17,-1116.676112707137
2017-06-13,-1.9534925832831251,2,-97.67462916415626
2017-06-14,-30.90310208346187,30,-1545.1551041730936
2017-06-15,-2.3823591187924396,2,-119.11795593962198
2017-06-16,-6.5445734359629135,7,-327.2286717981457
2017-06-19,-4.8261225748775844,7,-241.3061287438792
2017-06-20,-42.772152049886316,45,-2138.607602494316
2017-06-21,-11.969096153350469,12,-598.4548076675235
2017-06-22,-25.101737034594468,30,-1255.0868517297233
2017-06-23,-26.442913166573394,32,-1322.1456583286697
2017-06-26,-9.203129666889152,8,-460.1564833444576
2017-06-27,9.249609700968499,4,462.48048504842495
2017-06-28,-6.824085864135112,8,-341.2042932067556
2017-06-29,0.06323253480765198,1,3.161626740382599
2017-06-30,0.0,0,0.0
2017-07-03,-9.265494017787534,10,-463.2747008893767
2017-07-04,0.0,0,0.0
2017-07-05,-3.132586286881822,3,-156.6293143440911
2017-07-06,-4.114699376997982,4,-205.7349688498991
2017-07-07,-4.3480385496292735,5,-217.40192748146367
2017-07-10,-12.180967220278074,15,-609.0483610139037
2017-07-11,-15.572421842400686,17,-778.6210921200343
2017-07-12,-20.58824634120378,18,-1029.412317060189
2017-07-13,0.0,0,0.0
2017-07-14,-11.185125861742337,18,-559.2562930871169
2017-07-17,-1.7904941404007986,2,-89.52470702003993
2017-07-18,-3.470708521750516,4,-173.5354260875258
2017-07-19,-23.415550722414167,28,-1170.7775361207084
2017-07-20,-7.177791866858733,5,-358.8895933429367
2017-07-21,-2.8001415153875966,2,-140.00707576937984
2017-07-24,-14.66580595240862,18,-733.290297620431
2017-07-25,0.0,0,0.0
2017-07-26,0.0,0,0.0
2017-07-27,-13.09606399447475,11,-654.8031997237375
2017-07-28,-15.188165350411573,13,-759.4082675205786
2017-07-31,-4.503964769747123,6,-225.19823848735615
2017-08-01,0.0,0,0.0
2017-08-02,-3.523769631796047,3,-176.18848158980236
2017-08-03,-40.75688149691936,44,-2037.8440748459682
2017-08-04,0.0,0,0.0
2017-08-07,-1.8228159477013905,3,-91.14079738506953
2017-08-08,-14.645867799738705,14,-732.2933899869353
2017-08-09,0.0,0,0.0
2017-08-10,1.3371947439184295,1,66.85973719592148
2017-08-11,-31.054525306674805,34,-1552.7262653337402
2017-08-14,1.5840000000000727,1,79.20000000000364
2017-08-15,-1.6139664116287677,1,-80.69832058143838
2017-08-16,0.0,0,0.0
2017-08-17,-16.27332068241349,14,-813.6660341206746
2017-08-18,-23.907090589509824,18,-1195.3545294754913
2017-08-21,-3.492950128469121,2,-174.64750642345606
2017-08-22,11.874000000000036,1,593.7000000000018
2017-08-23,0.0,0,0.0
2017-08-24,-10.739657756405778,10,-536.982887820289
2017-08-25,-11.030477647913687,10,-551.5238823956844
2017-08-28,0.0,0,0.0
2017-08-29,0.0,0,0.0
2017-08-30,-22.0520075943779,24,-1102.600379718895
2017-08-31,-19.465488995471052,22,-973.2744497735526
2017-09-01,0.0,0,0.0
2017-09-04,0.0,0,0.0
2017-09-05,-9.94711639636469,16,-497.35581981823447
2017-09-06,0.0,0,0.0
2017-09-07,-11.085663328107179,12,-554.283166405359
2017-09-08,0.0,0,0.0
2017-09-11,-1.0403703106310205,1,-52.018515531551024
2017-09-12,0.0,0,0.0
2017-09-13,0.0,0,0.0
