,CompressionDrift,RibbonRider,BeatTheMarket,Combined,Combined_eqrisk
2026-03-11,-1901.9816466691093,0.0,0.0,-1901.9816466691093,-609.1389722287909
2026-03-12,0.0,0.0,750.6999999999999,750.6999999999999,322.8955004190311
2026-03-13,-339.09978447220783,0.0,0.0,-339.09978447220783,-108.60193869806596
2026-03-16,-814.3259312949009,0.0,0.0,-814.3259312949009,-260.80044553370254
2026-03-17,-931.779995735627,-869.5083701624208,0.0,-1801.2883658980477,-1511.7526234513364
2026-03-18,2338.7099399654844,0.0,0.0,2338.7099399654844,749.0079474040646
2026-03-19,-753.3844632038436,0.0,0.0,-753.3844632038436,-241.2829999767957
2026-03-20,1696.9,0.0,0.0,1696.9,543.4584102245338
2026-03-23,0.0,-896.4518679745333,0.0,-896.4518679745333,-1250.9333932311604
2026-03-24,-2479.7364583752324,-435.0000000000159,0.0,-2914.7364583752483,-1401.1847336398246
2026-03-25,-659.2943653410708,0.0,0.0,-659.2943653410708,-211.1491942119461
2026-03-26,13657.2,0.0,1230.6999999999998,14887.900000000001,4903.284971447294
2026-03-27,31.684535843178764,0.0,3281.4,3313.084535843179,1421.5625342334106
2026-03-30,-846.3896021553345,-839.9999999999886,370.7,-1315.6896021553232,-1283.7805826158778
2026-03-31,2917.8858284837534,254.9999999999818,3027.1000000000004,6199.9858284837355,2592.365980536095
2026-04-01,-700.9573906997681,547.5,-2139.3,-2292.757390699768,-380.6642859539835
2026-04-02,-1352.6545134666244,265.00000000002956,0.0,-1087.6545134665948,-63.42025140753094
2026-04-03,0.0,0.0,0.0,0.0,0.0
2026-04-06,-332.00777160836117,-89.9999999999886,-914.3,-1336.3077716083499,-625.1831623748047
2026-04-07,-275.05464853950616,0.0,0.0,-275.05464853950616,-88.09049562151448
2026-04-08,-672.6678966402537,-450.0000000000023,0.0,-1122.667896640256,-843.3745507094599
2026-04-09,-1639.7023186964427,1150.00000000005,0.0,-489.7023186963927,1079.6014037059435
2026-04-10,-182.56441466130852,0.0,0.0,-182.56441466130852,-58.46907098556621
2026-04-13,0.0,1344.9500000000262,0.0,1344.9500000000262,1876.779922415285
2026-04-14,3081.9,45.000000000002245,3925.7,7052.600000000002,2738.3654392862372
2026-04-15,-353.1802621274488,210.0000000000227,1356.4,1213.219737872574,763.3510479875235
2026-04-16,-567.390882237356,-603.2093056400913,0.0,-1170.6001878774473,-1023.4504071832348
2026-04-17,-811.733493964433,1324.9500000000444,-774.3000000000001,-261.0834939643887,1255.8547280493028
2026-04-20,-1069.7133451724799,0.0,-1254.3000000000002,-2324.01334517248,-882.099100897455
2026-04-21,-641.0375869312302,-209.99999999999318,0.0,-851.0375869312234,-498.3419083422245
2026-04-22,283.14898827516,489.9999999999954,-302.9000000000001,470.2489882751553,644.1570708400341
2026-04-23,776.2533867501193,-622.8090689159126,0.0,153.4443178342067,-620.4776403681041
2026-04-24,3596.8348906323636,1951.099999999983,2145.7,7693.6348906323465,4797.481153716685
2026-04-27,391.67787821985837,0.0,0.0,391.67787821985837,125.44088456448983
2026-04-28,1003.2301652066749,5.00000000003865,0.0,1008.2301652067135,328.277077873484
2026-04-29,-1058.6897484798567,0.0,-569.3,-1627.9897484798566,-583.9323940477052
2026-04-30,6193.435902059392,521.3582564356489,-2254.3,4460.49415849504,1741.4281761886496
2026-05-01,-1811.6533744321378,-1210.9118610893279,-753.6000000000001,-3776.1652355214655,-2594.092261251745
2026-05-04,-1564.7404112285105,0.0,-1774.3000000000002,-3339.0404112285105,-1264.30461686504
2026-05-05,-118.98662804940432,0.0,1000.7,881.7133719505957,392.3196674452256
