vm,interval,stop,window,confirm,max_rts,n,avg,t,sharpe,n_rec,avg_rec,t_rec,sharpe_rec
1.25,15,band_vwap,am_ext,1,99,4082.0,9.05,1.09,0.27,600.0,22.75,0.59,0.38
1.25,15,band_vwap,am_ext,2,2,4082.0,9.6,1.28,0.32,600.0,18.09,0.52,0.34
1.25,15,band_vwap,am_ext,2,99,4082.0,9.53,1.26,0.31,600.0,15.84,0.45,0.29
1.25,15,band_vwap,pm,1,2,4082.0,8.84,1.37,0.34,600.0,49.58,1.6,1.03
1.25,15,band_vwap,pm,1,99,4082.0,7.29,1.12,0.28,600.0,44.19,1.41,0.91
1.25,15,band_vwap,pm,2,2,4082.0,7.22,1.2,0.3,600.0,37.52,1.28,0.83
1.25,15,band_vwap,pm,2,99,4082.0,5.82,0.96,0.24,600.0,32.5,1.1,0.71
1.25,15,band_vwap,skip_lunch,1,2,4082.0,12.82,1.6,0.4,600.0,42.33,1.13,0.73
1.25,15,band_vwap,skip_lunch,1,99,4082.0,13.02,1.59,0.4,600.0,40.77,1.07,0.69
1.25,15,band_vwap,skip_lunch,2,2,4082.0,13.85,1.91,0.47,600.0,38.49,1.14,0.74
1.25,15,band_vwap,skip_lunch,2,99,4082.0,11.96,1.63,0.41,600.0,30.33,0.89,0.58
1.25,15,vwap,all,1,2,4082.0,23.67,2.37,0.59,600.0,81.78,1.71,1.11
1.25,15,vwap,all,1,99,4082.0,22.91,2.26,0.56,600.0,78.28,1.62,1.05
1.25,15,vwap,all,2,2,4082.0,18.5,2.12,0.53,600.0,71.25,1.71,1.11
1.25,15,vwap,all,2,99,4082.0,17.13,1.95,0.48,600.0,60.94,1.45,0.94
1.25,15,vwap,am,1,2,4082.0,18.87,2.26,0.56,600.0,69.65,1.71,1.11
1.25,15,vwap,am,1,99,4082.0,17.85,2.12,0.53,600.0,68.92,1.69,1.1
1.25,15,vwap,am,2,2,4082.0,14.37,2.01,0.5,600.0,38.85,1.12,0.72
1.25,15,vwap,am,2,99,4082.0,13.58,1.9,0.47,600.0,38.12,1.09,0.71
1.25,15,vwap,am_ext,1,2,4082.0,18.72,1.97,0.49,600.0,60.17,1.31,0.85
1.25,15,vwap,am_ext,1,99,4082.0,18.11,1.88,0.47,600.0,62.34,1.36,0.88
1.25,15,vwap,am_ext,2,2,4082.0,15.36,1.84,0.46,600.0,52.49,1.32,0.85
1.25,15,vwap,am_ext,2,99,4082.0,15.62,1.86,0.46,600.0,51.33,1.29,0.83
1.25,15,vwap,pm,1,2,4082.0,9.22,1.34,0.33,600.0,45.82,1.39,0.9
1.25,15,vwap,pm,1,99,4082.0,7.97,1.15,0.29,600.0,41.16,1.24,0.8
1.25,15,vwap,pm,2,2,4082.0,7.55,1.16,0.29,600.0,35.03,1.12,0.73
1.25,15,vwap,pm,2,99,4082.0,6.39,0.98,0.24,600.0,30.95,0.98,0.64
1.25,15,vwap,skip_lunch,1,2,4082.0,23.62,2.51,0.62,600.0,92.4,2.06,1.33
1.25,15,vwap,skip_lunch,1,99,4082.0,22.8,2.41,0.6,600.0,90.02,2.0,1.29
1.25,15,vwap,skip_lunch,2,2,4082.0,19.82,2.44,0.61,600.0,61.04,1.58,1.02
1.25,15,vwap,skip_lunch,2,99,4082.0,18.74,2.3,0.57,600.0,56.65,1.46,0.94
1.25,30,band_vwap,all,1,2,4082.0,16.66,1.88,0.47,600.0,50.72,1.25,0.81
1.25,30,band_vwap,all,1,99,4082.0,18.33,2.06,0.51,600.0,51.24,1.26,0.81
1.25,30,band_vwap,all,2,2,4082.0,14.27,1.99,0.5,600.0,29.12,0.94,0.61
1.25,30,band_vwap,all,2,99,4082.0,12.78,1.77,0.44,600.0,25.47,0.82,0.53
1.25,30,band_vwap,am,1,2,4082.0,13.89,1.91,0.47,600.0,17.18,0.51,0.33
1.25,30,band_vwap,am,1,99,4082.0,14.23,1.95,0.48,600.0,17.18,0.51,0.33
1.25,30,band_vwap,am,2,2,4082.0,7.68,1.36,0.34,600.0,-2.18,-0.09,-0.06
1.25,30,band_vwap,am,2,99,4082.0,7.57,1.34,0.33,600.0,-2.18,-0.09,-0.06
1.25,30,band_vwap,am_ext,1,2,4082.0,14.19,1.72,0.43,600.0,30.04,0.78,0.51
1.25,30,band_vwap,am_ext,1,99,4082.0,15.42,1.87,0.46,600.0,28.16,0.73,0.47
1.25,30,band_vwap,am_ext,2,2,4082.0,14.55,2.2,0.55,600.0,20.42,0.7,0.45
1.25,30,band_vwap,am_ext,2,99,4082.0,14.0,2.11,0.52,600.0,17.68,0.6,0.39
1.25,30,band_vwap,pm,1,2,4082.0,9.67,1.49,0.37,600.0,48.33,1.55,1.01
1.25,30,band_vwap,pm,1,99,4082.0,9.07,1.39,0.34,600.0,48.69,1.57,1.02
1.25,30,band_vwap,pm,2,2,4082.0,7.93,1.39,0.35,600.0,32.37,1.19,0.77
