date,net_pts,net_usd,gross_pts,round_trips,open,close,ret_frac,half_day
2023-02-07,-34.192000000000434,-1709.6000000000217,-33.02000000000044,2,4563.46,4634.51,-0.007492560469468437,False
2023-02-08,-10.575999999999782,-528.7999999999892,-9.989999999999782,1,4610.92,4583.72,-0.002293685425034436,False
2023-02-09,-6.711999999999963,-335.59999999999815,-5.539999999999964,2,4623.96,4542.37,-0.0014515696502564821,False
2023-02-10,0.0,0.0,0.0,0,4527.39,4551.25,0.0,False
2023-02-13,27.434000000000438,1371.7000000000219,28.020000000000437,1,4559.02,4604.81,0.00601752130940431,False
2023-02-14,-11.415999999999928,-570.7999999999964,-10.829999999999927,1,4586.22,4602.59,-0.0024891958955305083,False
2023-02-15,0.0,0.0,0.0,0,4575.68,4616.47,0.0,False
2023-02-16,0.0,0.0,0.0,0,4555.42,4550.98,0.0,False
2023-02-17,-13.625999999999964,-681.2999999999982,-13.039999999999964,1,4524.89,4538.21,-0.0030113439221726855,False
2023-02-20,0.0,0.0,0.0,0,4530.44,4524.33,0.0,True
2023-02-21,27.434000000000438,1371.7000000000219,28.020000000000437,1,4490.48,4447.19,0.006109369154299861,False
2023-02-22,0.0,0.0,0.0,0,4450.24,4440.53,0.0,False
2023-02-23,-12.796000000000037,-639.8000000000019,-12.210000000000036,1,4471.88,4460.78,-0.0028614363533905284,False
2023-02-24,-10.855999999999527,-542.7999999999764,-10.269999999999527,1,4401.67,4413.33,-0.0024663366404113728,False
2023-02-27,0.0,0.0,0.0,0,4451.63,4427.2,0.0,False
2023-02-28,0.0,0.0,0.0,0,4421.1,4409.17,0.0,False
2023-03-01,0.0,0.0,0.0,0,4400.01,4393.35,0.0,False
2023-03-02,0.0,0.0,0.0,0,4368.09,4424.98,0.0,False
2023-03-03,32.688000000000585,1634.4000000000292,33.86000000000058,2,4445.8,4494.92,0.00735255746997179,False
2023-03-06,0.24399999999992728,12.199999999996363,0.8299999999999272,1,4504.35,4498.25,5.4169858026114144e-05,False
2023-03-07,37.43399999999953,1871.6999999999764,38.01999999999953,1,4497.14,4428.59,0.008323957003784523,False
2023-03-08,0.0,0.0,0.0,0,4429.42,4435.25,0.0,False
2023-03-09,-8.075999999999782,-403.7999999999891,-7.489999999999782,1,4443.02,4351.72,-0.0018176825672627584,False
2023-03-10,9.657999999999927,482.89999999999634,10.829999999999927,2,4344.23,4287.61,0.002223178791178167,False
2023-03-13,-12.831999999999855,-641.5999999999927,-11.659999999999854,2,4241.82,4281.51,-0.003025116577318193,False
2023-03-14,2.4340000000004367,121.70000000002183,3.0200000000004366,1,4341.98,4352.44,0.0005605737474609364,False
2023-03-15,0.0,0.0,0.0,0,4284.17,4326.01,0.0,False
2023-03-16,49.523999999999674,2476.199999999984,50.10999999999967,1,4295.46,4398.69,0.011529382184911435,False
2023-03-17,-15.762000000000146,-788.1000000000073,-14.590000000000146,2,4384.1,4347.21,-0.0035952647065532594,False
