ticker,ep_id,start_ts_et,end_ts_et,n_comp_bars,spot_start,spot_end,datr14_prior,ema9_h,ema21_h,po,po_slope1,po_slope3,phase_zone,ema21_d,ema21_d_slope1,ema21_d_slope3
AAPL,AAPL-116,2026-06-17T14:30:00-04:00,2026-06-24T15:30:00-04:00,29,295.185,293.07,7.2221,297.1539,296.9143,-15.354,-10.272,-37.826,neutral,298.72,0.054,-0.9428
AAPL,AAPL-117,2026-06-29T15:30:00-04:00,2026-06-30T10:30:00-04:00,2,281.63,288.27,8.1597,281.3334,282.5585,-7.942,-1.717,7.009,neutral,294.1407,-1.2841,-3.7608
META,META-001,2024-07-26T15:30:00-04:00,2024-07-29T11:30:00-04:00,3,465.67,472.17,15.9636,464.8715,466.6198,-3.413,-2.041,-4.817,neutral,489.8211,-3.6421,-7.6453
META,META-002,2024-07-30T09:30:00-04:00,2024-08-01T09:30:00-04:00,14,467.39,513.0578,15.4889,467.3986,467.5418,-3.389,2.443,-9.97,neutral,485.6414,-1.9841,-7.8218
META,META-003,2024-08-06T09:30:00-04:00,2024-08-06T13:30:00-04:00,4,489.94,501.0512,19.8878,481.1177,481.8286,4.611,22.348,24.058,neutral,483.7199,-0.783,0.9604
META,META-004,2024-08-08T14:30:00-04:00,2024-08-09T10:30:00-04:00,3,505.7,513.9,20.5806,501.074,496.5759,39.167,1.701,8.737,neutral_up,485.0473,0.3883,0.5444
META,META-005,2024-08-20T13:30:00-04:00,2024-08-22T09:30:00-04:00,10,527.515,542.09,17.0421,527.8919,528.0669,-3.511,-2.007,-3.297,neutral,506.5779,2.2622,8.0979
META,META-006,2024-08-22T12:30:00-04:00,2024-08-22T14:30:00-04:00,2,534.1,530.13,15.9536,535.1748,532.8338,25.441,-16.127,-32.666,neutral_up,510.8327,2.4337,6.517
META,META-007,2024-08-23T09:30:00-04:00,2024-08-26T09:30:00-04:00,7,537.24,517.28,15.9312,534.1179,532.9088,13.812,17.243,4.064,neutral,512.7661,1.9334,6.1882
META,META-008,2024-08-28T13:30:00-04:00,2024-09-03T15:30:00-04:00,23,514.95,511.77,15.1546,517.2727,520.3738,-49.08,-0.072,-1.271,neutral_down,515.1875,0.3993,2.4213
META,META-009,2024-09-04T09:30:00-04:00,2024-09-06T12:30:00-04:00,17,510.89,499.85,14.2286,513.5856,515.9888,-38.735,-0.67,-3.052,neutral_down,515.7253,-0.3955,0.3994
META,META-010,2024-09-10T14:30:00-04:00,2024-09-12T09:30:00-04:00,9,506.2275,520.13,14.4667,504.9703,506.29,-6.352,5.865,19.895,neutral,513.3426,-0.8523,-2.1021
META,META-011,2024-09-16T14:30:00-04:00,2024-09-17T10:30:00-04:00,3,530.71,534.94,14.3688,526.2872,522.4711,57.127,5.916,30.103,neutral_up,514.6905,0.9819,2.1336
META,META-012,2024-09-23T15:30:00-04:00,2024-09-25T14:30:00-04:00,13,564.41,572.14,14.2989,564.033,559.3664,41.557,-3.116,-10.512,neutral_up,526.9492,3.4391,8.7549
META,META-013,2024-09-25T15:30:00-04:00,2024-09-26T14:30:00-04:00,6,568.26,567.63,14.1357,569.042,565.6215,37.38,-17.683,-12.832,neutral_up,533.3543,2.9996,9.8442
META,META-014,2024-09-27T09:30:00-04:00,2024-10-04T10:30:00-04:00,36,566.77,583.815,14.1608,567.0654,566.1231,7.632,-2.715,7.128,neutral,539.375,2.8475,9.0203
META,META-015,2024-10-09T09:30:00-04:00,2024-10-14T12:30:00-04:00,24,587.18,595.07,13.2323,589.6212,588.1837,11.764,-19.287,-1.097,neutral,562.337,3.0493,9.5127
