date,open,prev_close,atr_14,call_trigger,put_trigger,call_time,pdc_cross_time,put_time,put_halfhour,opened_above_call,call_to_put_min,pdc_cross_to_put_min,pdc_return,pdc_return_time,pdc_return_min,call_return,call_return_time,call_return_min,bull_gg_return,bull_gg_return_time,down_0382,down_050,down_0618,down_0786,down_100,down_1236,down_1382,down_150,down_1618,down_1786,down_200,down_0382_time,down_0618_time,down_100_time,first_resolution,close,close_zone,lowest_atr_after_put,rebound_atr_after_put,h1_bar_start,h1_close,h1_ema21,h1_phase_oscillator,h1_phase_zone,h1_compression,h1_po_compression,h1_completed_time,h1_po_state
2022-01-19,458.17,456.51,6.444096488676596,458.03080677132766,454.9891932286723,2022-01-19 09:30:00,2022-01-19 10:29:00,2022-01-19 11:18:00,11:00,True,108.0,49.0,True,2022-01-19 11:53:00,35.0,True,2022-01-19 12:12:00,54.0,False,,True,True,True,False,False,False,False,False,False,False,False,2022-01-19 15:32:00,2022-01-19 15:54:00,,pdc_first,451.79,below_put_trigger,0.7836630020785293,0.2715663868588957,2022-01-19 10:00:00,456.282,458.43281280403585,-15.884844618863134,neutral,1,1,2022-01-19 11:00:00,compression
2022-02-11,449.41,449.38,9.059399895804257,451.5180183754098,447.2419816245902,2022-02-11 09:47:00,2022-02-11 09:58:00,2022-02-11 11:37:00,11:30,False,110.0,99.0,False,,,False,,,False,,True,True,True,True,True,False,False,False,False,False,False,2022-02-11 13:29:00,2022-02-11 13:38:00,2022-02-11 14:47:00,gg_only,440.51,below_put_trigger,1.152394211545419,-0.07837163699207128,2022-02-11 10:00:00,449.0,450.364527996729,-24.86647946383072,neutral_down,0,0,2022-02-11 11:00:00,bearish_expansion
2022-02-23,432.69,429.65,8.854243900398872,431.7396015604941,427.56039843950583,2022-02-23 09:30:00,2022-02-23 10:09:00,2022-02-23 11:04:00,11:00,True,94.0,55.0,True,2022-02-23 12:19:00,75.0,False,,,False,,True,True,True,True,False,False,False,False,False,False,False,2022-02-23 13:12:00,2022-02-23 14:29:00,,pdc_first,421.97,below_put_trigger,0.9374035878575753,0.0688935166979683,2022-02-23 10:00:00,428.14,431.9388600756077,-27.02243158851513,neutral_down,1,1,2022-02-23 11:00:00,compression
2022-03-03,440.47,437.83,9.314204156357098,440.02815218090024,435.63184781909973,2022-03-03 09:30:00,2022-03-03 10:21:00,2022-03-03 10:51:00,10:30,True,81.0,30.0,True,2022-03-03 12:33:00,102.0,False,,,False,,True,False,False,False,False,False,False,False,False,False,False,2022-03-03 11:14:00,,,gg_first,435.72,put_to_pdc,0.43267250023174886,0.15460258072797062,2022-03-03 09:00:00,439.7,436.68683261283445,44.965323856892,neutral_up,0,0,2022-03-03 10:00:00,bullish_expansion
2022-03-25,451.16,450.41,8.294459337318244,452.3674924036071,448.45250759639293,2022-03-25 10:24:00,2022-03-25 11:10:00,2022-03-25 11:28:00,11:00,False,64.0,18.0,True,2022-03-25 12:21:00,53.0,True,2022-03-25 15:59:00,271.0,False,,False,False,False,False,False,False,False,False,False,False,False,,,,pdc_only,452.66,above_call_trigger,0.23871357004448102,0.2869385336898275,2022-03-25 10:00:00,452.33,449.6909712296471,54.045190163160804,neutral_up,0,0,2022-03-25 11:00:00,bullish_expansion
2022-05-02,412.07,412.05,9.187098123549083,414.2181551571576,409.88184484284244,2022-05-02 10:26:00,2022-05-02 11:01:00,2022-05-02 11:32:00,11:30,False,66.0,31.0,True,2022-05-02 12:00:00,28.0,True,2022-05-02 15:52:00,260.0,False,,True,True,True,False,False,False,False,False,False,False,False,2022-05-02 13:03:00,2022-05-02 14:13:00,,pdc_first,414.5,above_call_trigger,0.7652035392960687,0.2840940593972605,2022-05-02 10:00:00,412.41,415.4326356575763,-46.30815731557936,neutral_down,0,0,2022-05-02 11:00:00,bearish_expansion
2022-05-12,389.37,392.77,10.597381630659724,395.27098206483566,390.2690179351643,2022-05-12 11:09:00,2022-05-12 11:24:00,2022-05-12 11:50:00,11:30,False,41.0,26.0,False,,,False,,,False,,True,True,True,False,False,False,False,False,False,False,False,2022-05-12 11:58:00,2022-05-12 14:09:00,,gg_only,392.41,put_to_pdc,0.7190455402638579,-0.017928957040699644,2022-05-12 10:00:00,394.02,393.93420472349646,-26.51129210400437,neutral_down,0,0,2022-05-12 11:00:00,bearish_expansion
2022-05-20,393.25,389.45,10.875264375029614,392.01656239250696,386.883437607493,2022-05-20 09:30:00,2022-05-20 10:50:00,2022-05-20 11:07:00,11:00,True,97.0,17.0,True,2022-05-20 15:50:00,283.0,False,,,False,,True,True,True,True,False,False,False,False,False,False,False,2022-05-20 12:08:00,2022-05-20 12:42:00,,gg_first,389.6,pdc_to_call,0.8192904275925436,0.044164443588406266,2022-05-20 10:00:00,387.561,391.929945977597,-19.23229489348718,neutral,1,1,2022-05-20 11:00:00,compression
2022-06-01,415.15,412.94,9.994640612804606,415.2987351846219,410.5812648153781,2022-06-01 09:30:00,2022-06-01 10:07:00,2022-06-01 10:26:00,10:00,False,56.0,19.0,False,,,False,,,False,,True,True,False,False,False,False,False,False,False,False,False,2022-06-01 10:36:00,,,gg_only,409.62,below_put_trigger,0.6013222718884255,-0.040021449044152564,2022-06-01 09:00:00,414.8999,413.4358634052653,19.574724220590014,neutral,1,1,2022-06-01 10:00:00,compression
2022-06-17,365.48,366.93,10.082342056456067,369.30943272532363,364.5505672746764,2022-06-17 09:55:00,2022-06-17 10:09:00,2022-06-17 10:22:00,10:00,False,27.0,13.0,True,2022-06-17 11:31:00,69.0,False,,,False,,True,False,False,False,False,False,False,False,False,False,False,2022-06-17 10:35:00,,,gg_first,365.84,put_to_pdc,0.4721125283536677,0.20530943985127956,2022-06-17 09:00:00,368.39,369.2775106850118,-17.24727145550711,neutral,1,1,2022-06-17 10:00:00,compression
2022-06-28,390.22,388.66,9.682146757008757,390.9449866346541,386.375013365346,2022-06-28 09:31:00,2022-06-28 10:32:00,2022-06-28 11:26:00,11:00,False,115.0,54.0,False,,,False,,,False,,True,True,True,True,False,False,False,False,False,False,False,2022-06-28 11:40:00,2022-06-28 13:13:00,,gg_only,380.74,below_put_trigger,0.8396898130174354,-0.24892206867814368,2022-06-28 10:00:00,388.77,389.42151898136126,13.81402315214114,neutral,1,1,2022-06-28 11:00:00,compression
2022-07-01,376.53,377.285,9.090597239485508,379.43038094851863,375.1396190514814,2022-07-01 09:48:00,2022-07-01 10:06:00,2022-07-01 10:18:00,10:00,False,30.0,12.0,True,2022-07-01 11:17:00,59.0,True,2022-07-01 14:24:00,246.0,True,2022-07-01 15:31:00,True,False,False,False,False,False,False,False,False,False,False,2022-07-01 10:40:00,,,gg_first,381.2,above_call_trigger,0.38336315075787597,0.48566666014232474,2022-07-01 09:00:00,378.69,377.3107588285341,0.2881814696846252,neutral,1,1,2022-07-01 10:00:00,compression
2022-09-06,393.1,392.27,6.841110667745568,393.88450211758794,390.655497882412,2022-09-06 09:30:00,2022-09-06 09:41:00,2022-09-06 09:55:00,09:30,False,25.0,14.0,True,2022-09-06 10:51:00,56.0,True,2022-09-06 11:08:00,73.0,False,,True,True,False,False,False,False,False,False,False,False,False,2022-09-06 10:02:00,,,gg_first,390.79,put_to_pdc,0.5627741147576995,0.2601916686412287,2022-09-06 08:00:00,394.46,394.7504343230411,-4.204819170366034,neutral,0,0,2022-09-06 09:00:00,bearish_expansion
2022-09-26,366.43,367.92,7.706746015576499,369.7387920596761,366.10120794032395,2022-09-26 10:16:00,2022-09-26 10:48:00,2022-09-26 11:26:00,11:00,False,70.0,38.0,False,,,False,,,False,,True,True,True,False,False,False,False,False,False,False,False,2022-09-26 12:25:00,2022-09-26 13:25:00,,gg_only,364.31,below_put_trigger,0.6345220135860695,-0.09731733710753365,2022-09-26 10:00:00,368.48,368.4180655532735,-7.697973674087871,neutral,1,1,2022-09-26 11:00:00,compression
2022-10-14,368.53,365.96,9.245441057853007,368.1419240896533,363.7780759103467,2022-10-14 09:30:00,2022-10-14 10:00:00,2022-10-14 10:00:00,10:00,True,30.0,0.0,False,,,False,,,False,,True,True,True,True,False,False,False,False,False,False,False,2022-10-14 10:12:00,2022-10-14 11:45:00,,gg_only,357.68,below_put_trigger,0.9734527475414998,-0.015142598295088521,2022-10-14 09:00:00,366.6,363.9534241491871,43.79917040983991,neutral_up,0,0,2022-10-14 10:00:00,bullish_expansion
2022-11-01,390.14,386.21,8.102469407650315,388.12218278020543,384.2978172197945,2022-11-01 09:30:00,2022-11-01 10:05:00,2022-11-01 10:52:00,10:30,True,82.0,47.0,False,,,False,,,False,,False,False,False,False,False,False,False,False,False,False,False,,,,neither,384.53,put_to_pdc,0.36038395865375417,-0.023449641145278574,2022-11-01 09:00:00,388.0407,387.69622062322895,31.866555921667526,neutral_up,1,1,2022-11-01 10:00:00,compression
2022-12-01,408.8,407.47,6.8867501969683405,409.0952730464846,405.8447269535155,2022-12-01 09:33:00,2022-12-01 10:11:00,2022-12-01 10:17:00,10:00,False,44.0,6.0,True,2022-12-01 10:59:00,42.0,False,,,False,,True,False,False,False,False,False,False,False,False,False,False,2022-12-01 10:30:00,,,gg_first,407.38,put_to_pdc,0.39496132750646534,0.14520637040678727,2022-12-01 09:00:00,409.0928,404.02870439291917,108.44441165936732,extended_up,0,0,2022-12-01 10:00:00,bullish_expansion
2022-12-28,381.34,381.39,6.916504387905641,383.0222950355457,379.75770496445426,2022-12-28 09:35:00,2022-12-28 10:25:00,2022-12-28 10:57:00,10:30,False,82.0,32.0,False,,,False,,,False,,True,True,True,False,False,False,False,False,False,False,False,2022-12-28 11:14:00,2022-12-28 15:14:00,,gg_only,376.68,below_put_trigger,0.7185710759745382,-0.1663123357532166,2022-12-28 09:00:00,382.12,382.0318185371149,1.2274461891424573,neutral,0,0,2022-12-28 10:00:00,bullish_expansion
2023-01-03,384.37,382.44,6.9533214796751786,384.08098386920335,380.79901613079664,2023-01-03 09:30:00,2023-01-03 09:55:00,2023-01-03 10:18:00,10:00,True,48.0,23.0,False,,,False,,,False,,True,True,True,False,False,False,False,False,False,False,False,2023-01-03 11:14:00,2023-01-03 12:46:00,,gg_only,380.84,put_to_pdc,0.6628486851172151,-0.015819777687763725,2023-01-03 09:00:00,381.71,382.87917044605103,9.116047272044115,neutral,0,0,2023-01-03 10:00:00,bullish_expansion
2023-01-10,387.25,387.8657,6.716823258450787,389.4508702889944,386.2805297110056,2023-01-10 10:12:00,2023-01-10 10:30:00,2023-01-10 10:45:00,10:30,False,33.0,15.0,True,2023-01-10 10:52:00,7.0,True,2023-01-10 13:35:00,170.0,True,2023-01-10 15:55:00,False,False,False,False,False,False,False,False,False,False,False,,,,pdc_only,390.63,above_call_trigger,0.23756766236068344,0.4145263159183026,2023-01-10 09:00:00,388.45,387.8261053830805,-8.298180451988705,neutral,0,0,2023-01-10 10:00:00,bearish_expansion
2023-01-18,399.03,397.76,6.4442583783913925,399.2808449773004,396.2391550226996,2023-01-18 09:30:00,2023-01-18 10:43:00,2023-01-18 11:06:00,11:00,False,96.0,23.0,False,,,False,,,False,,True,True,True,True,True,False,False,False,False,False,False,2023-01-18 11:21:00,2023-01-18 12:26:00,2023-01-18 15:59:00,gg_only,391.54,below_put_trigger,1.0055462738316752,-0.22035118963595537,2023-01-18 10:00:00,397.25,398.0126497644643,9.439766746411804,neutral,1,1,2023-01-18 11:00:00,compression
2023-02-14,411.24,412.82,6.252460472893759,414.2955806716029,411.34441932839707,2023-02-14 10:07:00,2023-02-14 10:32:00,2023-02-14 10:37:00,10:30,False,30.0,5.0,True,2023-02-14 13:02:00,145.0,False,,,False,,True,True,True,False,False,False,False,False,False,False,False,2023-02-14 10:40:00,2023-02-14 11:32:00,,gg_first,412.67,put_to_pdc,0.6891686910586228,0.14074459227931985,2023-02-14 09:00:00,413.2803,411.9636243027839,37.81433895507888,neutral_up,0,0,2023-02-14 10:00:00,bullish_expansion
2023-02-23,401.56,398.58,6.0031364260304825,399.99674019654316,397.1632598034568,2023-02-23 09:30:00,2023-02-23 11:08:00,2023-02-23 11:42:00,11:30,True,132.0,34.0,True,2023-02-23 14:11:00,149.0,True,2023-02-23 14:25:00,163.0,True,2023-02-23 15:04:00,True,False,False,False,False,False,False,False,False,False,False,2023-02-23 12:13:00,,,gg_first,400.65,above_call_trigger,0.3881304429292597,0.5064019512896847,2023-02-23 10:00:00,399.17,400.2392480224887,0.2616926282410379,neutral,1,1,2023-02-23 11:00:00,compression
2023-03-10,390.99,391.59,6.092152154212047,393.027747908394,390.15225209160593,2023-03-10 11:34:00,2023-03-10 11:45:00,2023-03-10 11:55:00,11:30,False,21.0,10.0,False,,,False,,,False,,True,True,True,True,True,False,False,False,False,False,False,2023-03-10 12:08:00,2023-03-10 12:58:00,2023-03-10 13:32:00,gg_only,385.92,below_put_trigger,1.1933385470311315,-0.18712598949318804,2023-03-10 10:00:00,391.265,393.172502457866,-46.1936699952196,neutral_down,0,0,2023-03-10 11:00:00,bearish_expansion
2023-04-12,411.87,409.71,5.118549298642731,410.91797763447966,408.5020223655203,2023-04-12 09:30:00,2023-04-12 10:55:00,2023-04-12 11:08:00,11:00,True,98.0,13.0,True,2023-04-12 11:42:00,34.0,True,2023-04-12 12:57:00,109.0,False,,True,False,False,False,False,False,False,False,False,False,False,2023-04-12 15:17:00,,,pdc_first,408.07,below_put_trigger,0.44348503209726053,0.34580110432254385,2023-04-12 10:00:00,409.174,410.1088476178618,2.860177304493426,neutral,1,1,2023-04-12 11:00:00,compression
