signal_date,peak_po,opex_offset,wk_atr_pos,mo_atr_pos,max_drop_1d,hit_05_1d,hit_10_1d,hit_15_1d,hit_20_1d,max_drop_3d,hit_05_3d,hit_10_3d,hit_15_3d,hit_20_3d,max_drop_5d,hit_05_5d,hit_10_5d,hit_15_5d,hit_20_5d,max_drop_10d,hit_05_10d,hit_10_10d,hit_15_10d,hit_20_10d,extended,deep_ext
2011-07-06,117.21675711492158,7,2.097013139682894,-0.1174560917148545,0.7318894697535397,False,False,False,False,-1.6728902165795436,True,True,True,False,-1.896938013442862,True,True,True,False,-3.18894697535475,True,True,True,True,True,True
2011-10-28,83.20838234769222,-5,0.6528525750438465,0.6253316668694288,-2.108386693737313,True,True,True,True,-5.106981102608158,True,True,True,True,-5.106981102608158,True,True,True,True,-5.106981102608158,True,True,True,True,True,False
2011-12-02,90.11303978573423,-9,1.5286999669631496,0.01446389011435974,-0.06373486297004326,False,False,False,False,-0.4381771829190545,False,False,False,False,-1.4898024219247852,True,True,False,False,-3.362014021669853,True,True,True,True,True,True
2012-03-14,104.0378305335049,2,0.5615992661404353,0.8407030359133055,0.014312294260756983,False,False,False,False,0.014312294260756983,False,False,False,False,-0.07156147130386628,False,False,False,False,-0.8515815085158134,True,False,False,False,True,False
2012-09-14,83.88487387849288,5,0.7069436611836797,0.954206847175861,-0.4082465809348808,False,False,False,False,-0.4898958971218608,False,False,False,False,-0.9117506974212448,True,False,False,False,-2.7352520922637344,True,True,True,True,True,False
2013-07-11,84.57112896434163,6,1.6479865231147568,0.4511100087565209,-0.053821313240045104,False,False,False,False,-0.08970218873340849,False,False,False,False,-0.08970218873340849,False,False,False,False,-0.08970218873340849,False,False,False,False,True,True
2013-09-19,87.22172969875413,1,1.855114642356958,0.5003754588525838,-1.3480923712198696,True,True,False,False,-2.140407492872052,True,True,True,True,-2.3254737986594347,True,True,True,True,-3.5110548201097664,True,True,True,True,True,True
2014-06-10,103.63169673112836,8,0.684111483317541,0.7826531365889738,-0.37395625224118545,False,False,False,False,-1.0757645612417366,True,True,False,False,-1.0757645612417366,True,True,False,False,-1.0757645612417366,True,True,False,False,True,False
2014-11-03,82.33104780798391,-11,1.1224805926808659,0.5525836644466037,-0.7047845940043616,True,False,False,False,-0.7047845940043616,True,False,False,False,-0.7047845940043616,True,False,False,False,-0.7047845940043616,True,False,False,False,True,True
2015-10-23,82.53462180955002,-5,0.5185193245921766,0.8506316398931664,0.030266710250729426,False,False,False,False,-0.3426191600382621,False,False,False,False,-0.3426191600382621,False,False,False,False,-0.3426191600382621,False,False,False,False,True,False
2016-07-11,81.07036196680556,4,0.6159022265308606,0.2959790082227487,0.3936085469284492,False,False,False,False,0.3936085469284492,False,False,False,False,0.3936085469284492,False,False,False,False,0.3936085469284492,False,False,False,False,False,False
2016-12-12,110.60494424370926,4,1.433072422388257,1.2334897202144788,0.3625431072597016,False,False,False,False,-0.3603324785569006,False,False,False,False,-0.6676098682465379,True,False,False,False,-0.6676098682465379,True,False,False,False,True,True
2017-02-16,117.77481023539858,1,1.3062805858183286,0.9996296772579353,-0.30683997443000166,False,False,False,False,-0.30683997443000166,False,False,False,False,-0.30683997443000166,False,False,False,False,-0.30683997443000166,False,False,False,False,True,True
2017-06-05,83.25469198014262,9,0.5785597519190973,0.5623916441896203,-0.323889959411255,False,False,False,False,-0.4427862736255111,False,False,False,False,-0.803575089172239,True,False,False,False,-0.9332540691238539,True,False,False,False,False,False
2017-07-17,80.52627202471484,4,0.9837157102930242,0.4181582372941152,-0.3908317387941245,False,False,False,False,-0.3908317387941245,False,False,False,False,-0.3908317387941245,False,False,False,False,-0.3908317387941245,False,False,False,False,True,False
2017-10-09,121.83733567208586,9,0.8985970928889194,0.74045828339555,-0.15331996697724368,False,False,False,False,-0.15331996697724368,False,False,False,False,-0.15331996697724368,False,False,False,False,-0.15331996697724368,False,False,False,False,True,False
2017-10-23,81.37618661827732,-1,0.6094519287296918,1.0179969637186315,-0.3210429030061467,False,False,False,False,-1.1577001653857466,True,True,False,False,-1.1577001653857466,True,True,False,False,-1.1577001653857466,True,True,False,False,True,True
2017-11-29,80.09307989904462,-7,1.3418607009006986,1.2114742392448068,0.5184705119896358,False,False,False,False,-0.5909038923411275,True,False,False,False,-0.5909038923411275,True,False,False,False,-0.5909038923411275,True,False,False,False,True,True
2018-01-10,112.48621935834227,6,1.970621980174388,0.9323443506229789,0.43898156277435935,False,False,False,False,0.43898156277435935,False,False,False,False,0.43898156277435935,False,False,False,False,0.43898156277435935,False,False,False,False,True,True
2018-01-29,80.93496513672864,-6,1.5393471933716292,2.3286619512022,-1.6919527371879937,True,True,True,False,-1.8807243235684807,True,True,True,False,-7.952877018807243,True,True,True,True,-11.584982171572403,True,True,True,True,True,True
