trading_week_end,weekly_bar_ts,cohort,outcome,open,prev_close,prev_atr14,put_trigger,pivot,call_trigger,dgg_open,ugg_open,week_low,week_high,tap_time,tap_price,pivot_time,call_time,ugg_time,dgg_time,mae_atr,mfe_atr,po_weekly_prev,po_weekly_zone,po_weekly_slope,po_weekly_bilbo,q_band_at_trigger,q_band_at_tap
2022-02-18,2022-02-20,intraweek_cross,full_rotation,439.92,440.51,14.929803057872803,436.986566478342,440.51,444.03343352165797,434.8068152318926,446.2131847681074,431.82,448.055,2022-02-14 13:53:00,436.986566478342,2022-02-15 09:30:00,2022-02-15 09:32:00,2022-02-15 15:52:00,2022-02-18 11:03:00,0.3460572425714336,0.7413650052015504,-18.951966213864612,mid,falling,mid_falling,below_q_dgg,below_q_dgg
2022-02-25,2022-02-27,intraweek_cross,reversion_only,431.89,434.27,15.02303141088189,430.72456458703186,434.27,437.8154354129681,428.5312020010431,440.0087979989569,410.64,437.84,2022-02-22 09:35:00,430.72456458703186,2022-02-22 09:49:00,2022-02-25 15:53:00,,2022-02-22 13:16:00,1.3369182315949684,0.4736351285143467,-27.180744366792105,mid,falling,mid_falling,below_q_dgg,below_q_dgg
2022-03-04,2022-03-06,opened_below_trigger,reversion_only,432.02,437.68,15.892814881533182,433.9292956879582,437.68,441.4307043120418,431.6089447152543,443.7510552847457,427.11,441.11,2022-02-28 09:30:00,432.02,2022-02-28 11:28:00,,,2022-02-28 14:08:00,0.30894464175161274,0.5719565770920952,-25.553803042772756,mid,rising,mid_rising,below_q_dgg,below_q_dgg
2022-03-11,2022-03-13,intraweek_cross,breakdown,431.55,432.24,15.757613818566526,428.5212031388183,432.24,435.9587968611817,426.2205915213076,438.2594084786924,415.12,431.84,2022-03-07 09:47:00,428.5212031388183,,,,2022-03-07 10:25:00,0.8504589142188662,0.08496190328032234,-28.976819622501868,mid,falling,mid_falling,below_q_dgg,below_q_dgg
2022-03-18,2022-03-20,intraweek_cross,full_rotation,420.89,420.08,15.854927117240345,416.33823720033126,420.08,423.8217627996687,414.02341784121415,426.1365821587858,415.79,444.86,2022-03-14 13:39:00,416.33823720033126,2022-03-15 09:30:00,2022-03-15 11:37:00,2022-03-15 15:31:00,,0.03457834881720149,1.7989210917693041,-40.74573185323085,mid,falling,mid_falling,below_q_dgg,below_q_dgg
2022-03-25,2022-03-27,non_tap,no_tap,444.34,444.47,16.798860894580322,440.5054688288791,444.47,448.43453117112097,438.0528351382703,450.88716486172973,440.68,452.98,,,,,,,,,-20.903633909854307,mid,rising,mid_rising,below_q_dgg,
2022-04-01,2022-04-03,non_tap,no_tap,452.06,452.66,16.477513687824587,448.7713067696734,452.66,456.54869323032665,446.36558977125105,458.954410228749,449.14,462.07,,,,,,,,,-3.4128190653064046,mid,rising,mid_rising,q_pivot_to_put,
2022-04-08,2022-04-10,gap_through_cross,breakdown,453.13,452.88,16.224119852979975,449.05110771469674,452.88,456.70889228530325,446.68238621616166,459.07761378383833,443.47,457.83,2022-04-06 09:30:00,446.89,,,,2022-04-06 09:32:00,0.210797259326939,0.23421917702993572,4.998078029732783,mid,rising,mid_rising,q_pivot_to_put,q_pivot_to_put
2022-04-15,2022-04-17,intraweek_cross,breakdown,444.11,447.62,16.090968434909975,443.82253144936124,447.62,451.4174685506388,441.4732500578644,453.7667499421356,436.6501,445.75,2022-04-11 09:38:00,443.82253144936124,,,,2022-04-11 12:43:00,0.4457426834422446,0.11978573933791622,3.6915624754468093,mid,falling,mid_falling,q_pivot_to_put,q_pivot_to_put
2022-04-22,2022-04-24,intraweek_cross,breakdown,436.81,437.87,15.725177832416406,434.15885803154976,437.87,441.58114196845025,431.86298206801695,443.87701793198306,425.44,450.01,2022-04-22 09:44:00,434.15885803154976,,,,2022-04-22 11:39:00,0.5544521101425265,0.11453873448332585,-6.439203411225067,mid,falling,mid_falling,below_q_dgg,below_q_dgg
2022-04-29,2022-05-01,intraweek_cross,breakdown,423.66,426.09,16.356950844386663,422.2297596007247,426.09,429.95024039927523,419.8416447774443,432.33835522255566,411.21,429.64,2022-04-25 09:32:00,422.2297596007247,2022-04-25 14:46:00,,,2022-04-25 11:32:00,0.67370500196291,0.4530331153876576,-21.372362092767673,mid,falling,mid_falling,below_q_dgg,below_q_dgg
2022-05-06,2022-05-08,intraweek_cross,breakdown,412.07,412.05,16.50502578407333,408.1548139149587,412.05,415.9451860850413,405.745080150484,418.354919849516,405.02,429.66,2022-05-02 13:03:00,408.1548139149587,2022-05-02 15:24:00,2022-05-03 10:04:00,2022-05-03 11:24:00,2022-05-02 14:42:00,0.18993087050998086,1.3029477424865907,-39.92927432037558,mid,falling,mid_falling,below_q_dgg,below_q_dgg
2022-05-13,2022-05-15,opened_below_trigger,breakdown,405.1,411.38,17.086095370925236,407.3476814924616,411.38,415.4123185075384,404.85311156830653,417.90688843169346,385.15,406.41,2022-05-09 09:30:00,405.1,,,,2022-05-09 09:30:00,1.1676160975870595,0.07667053071874923,-46.239307477001205,mid,falling,mid_falling,below_q_dgg,below_q_dgg
2022-05-20,2022-05-22,intraweek_cross,breakdown,399.98,401.69,17.739231415859148,397.50354138585726,401.69,405.87645861414273,394.9136135991418,408.4663864008582,380.54,408.57,2022-05-18 11:23:00,397.50354138585726,,,,2022-05-18 13:09:00,0.9562726246804341,0.03982464615186955,-54.40273106337054,mid,falling,mid_falling,below_q_dgg,below_q_dgg
2022-05-27,2022-05-29,non_tap,no_tap,392.83,389.6,18.47428631472635,385.2400684297246,389.6,393.95993157027544,382.54282262777457,396.6571773722255,386.96,415.3801,,,,,,,,,-64.42449114233008,low,falling,bear_bilbo,below_q_dgg,
2022-06-03,2022-06-05,intraweek_cross,reversion_only,413.55,415.35,19.184701577960183,410.8224104276014,415.35,419.8775895723986,408.02144399721925,422.6785560027808,406.93,417.44,2022-05-31 09:38:00,410.8224104276014,2022-05-31 12:03:00,,,2022-06-01 11:27:00,0.20289137215838207,0.34494097004881263,-44.461779273030885,mid,rising,mid_rising,below_q_dgg,below_q_dgg
2022-06-10,2022-06-12,intraweek_cross,breakdown,414.78,410.59,18.565080036677312,406.20864111134415,410.59,414.9713588886558,403.4981394259892,417.6818605740107,389.75,416.609,2022-06-09 15:01:00,406.20864111134415,,,,2022-06-09 15:44:00,0.8865375790908703,0.010307463704857573,-37.62327642111755,mid,rising,mid_rising,below_q_dgg,below_q_dgg
2022-06-17,2022-06-19,opened_below_dgg,gap_through_stop,379.85,389.82,19.15750289120036,385.29882931767673,389.82,394.34117068232325,382.50183389556145,397.13816610443854,362.17,383.9,2022-06-13 09:30:00,379.85,,,,2022-06-13 09:30:00,0.9228760188845376,0.21140542287796008,-48.79882404612944,mid,falling,mid_falling,below_q_dgg,below_q_dgg
2022-06-24,2022-06-26,non_tap,no_tap,371.88,365.84,19.764109827543187,361.1756700806998,365.84,370.5043299193002,358.29011004587846,373.3898899541215,370.18,390.09,,,,,,,,,-69.20727447082928,low,falling,bear_bilbo,below_q_dgg,
2022-07-01,2022-07-03,intraweek_cross,breakdown,391.05,390.05,20.084530554147246,385.31005078922124,390.05,394.7899492107788,382.37770932831575,397.7222906716843,372.56,393.16,2022-06-28 11:38:00,385.31005078922124,,,,2022-06-28 14:10:00,0.6348194574350398,0.0054743231604224,-56.42447968362137,mid,rising,mid_rising,q_pivot_to_call,q_pivot_to_call
2022-07-08,2022-07-10,opened_below_trigger,breakdown,375.85,381.2,20.121349800279585,376.451361447134,381.2,385.948638552866,373.5136443762932,388.8863556237068,372.9,390.64,2022-07-05 09:30:00,375.85,2022-07-05 15:28:00,2022-07-07 09:31:00,2022-07-07 14:21:00,2022-07-05 09:56:00,0.1466104426035601,0.7350401512225814,-54.67718120474517,mid,rising,mid_rising,q_pivot_to_put,q_pivot_to_put
2022-07-15,2022-07-17,intraweek_cross,breakdown,385.85,388.68,19.951253385973903,383.97150420091015,388.68,393.38849579908987,381.058621206558,396.30137879344204,371.04,386.87,2022-07-11 09:49:00,383.97150420091015,,,,2022-07-12 15:07:00,0.6481549780727667,0.14277277442089886,-45.92223399335268,mid,rising,mid_rising,q_pivot_to_call,q_pivot_to_call
2022-07-22,2022-07-24,non_tap,no_tap,388.38,385.1,19.786163858404336,380.4304653294166,385.1,389.7695346705834,377.5416854060896,392.65831459391046,380.66,400.18,,,,,,,,,-42.73773040440912,mid,rising,mid_rising,q_pivot_to_call,
2022-07-29,2022-07-31,intraweek_cross,full_rotation,395.75,395.12,19.767152154232594,390.4549520916011,395.12,399.7850479083989,387.56894787708313,402.6710521229169,389.95,413.03,2022-07-26 12:00:00,390.4549520916011,2022-07-27 09:40:00,2022-07-27 14:41:00,2022-07-27 15:29:00,,0.02554500960286302,1.1420485729182304,-31.684569839123874,mid,rising,mid_rising,q_call_to_ugg,q_call_to_ugg
2022-08-05,2022-08-07,intraweek_cross,reversion_only,409.15,412.06,20.003784143215977,407.33910694220106,412.06,416.78089305779895,404.4185544572915,419.7014455427085,406.82,415.68,2022-08-02 10:10:00,407.33910694220106,2022-08-02 12:20:00,,,,0.02595043710152767,0.4169657599823509,-12.278357867479514,mid,rising,mid_rising,above_q_ugg,above_q_ugg
2022-08-12,2022-08-14,non_tap,no_tap,415.25,413.43,19.207799561557696,408.8969593034724,413.43,417.9630406965276,406.09262056748497,420.76737943251504,410.22,427.21,,,,,,,,,-1.6842954094381266,mid,rising,mid_rising,above_q_ugg,
2022-08-19,2022-08-21,intraweek_cross,no_resolution,424.765,427.06,19.049385307160712,422.5643450675101,427.06,431.5556549324899,419.7831348126646,434.3368651873354,421.22,431.73,2022-08-19 10:57:00,422.5643450675101,,,,,0.07057157203937281,0.05961635581296178,14.082465415282538,mid,rising,mid_rising,above_q_ugg,above_q_ugg
2022-08-26,2022-08-28,opened_below_trigger,breakdown,417.05,422.15,18.43942921379209,417.79829470554506,422.15,426.5017052944549,415.1061380403314,429.19386195966854,405.25,419.96,2022-08-22 09:30:00,417.05,,,,2022-08-22 10:23:00,0.6399330403987775,0.15781399555596784,17.023368380180578,mid,rising,mid_rising,above_q_ugg,above_q_ugg
