ticker,listing_date,exchange,issuer
FFWM,2023-08-22,XNYS,First Foundation Inc
IVP,2023-08-30,XNAS,Inspire Veterinary Partners Inc.
SWIN,2023-09-01,XNAS,Solowin Holdings
RYZB,2023-09-15,XNAS,RayzeBio Inc.
DTCK,2023-09-15,XNAS,Davis Commodities Ltd.
APRN,2023-09-25,XNAS,Blue Apron Holdings Inc
SHIM,2023-10-31,XNAS,Shimmick Corp.
CRGX,2023-11-10,XNAS,CARGO Therapeutics Inc
SGN,2023-11-14,XASE,Signing Day Sports Inc
ROMA,2023-12-19,XNAS,Roma Green Finance Ltd
ZRSP,2023-12-27,XNAS,Zerospo
SUBL,2024-01-31,XNAS,BioLingus Cayman Ltd.
HLXB,2024-02-09,XNAS,Helix Acquisition Corp. II
SCRP,2024-02-13,XNAS,Scripps Safe Inc
CHRO,2024-02-16,XASE,Channel Therapeutics Corporation
CDTG,2024-04-08,XNAS,CDT Environmental Technology Investment Holdings Ltd
JUNE,2024-04-16,XNAS,Junee Ltd
ONDR,2024-04-23,XASE,Sushi Ginza Onodera Inc.
KMCM,2024-04-25,XASE,Key Mining Corp.
ZK,2024-05-10,XNYS,ZEEKR Intelligent Technology Holding Ltd.
WRD,2024-08-21,XNAS,WeRide Inc.
PMAX,2024-08-28,XNAS,Powell Max Ltd.
SUNH,2024-10-21,XNAS,Xuhang Holdings Ltd
CGTL,2024-11-18,XNAS,Creative Global Technology Holdings Ltd.
NCEW,2024-11-21,XNAS,New Century Logistics BVI Ltd.
NTCL,2024-11-26,XNAS,NetClass Technology Inc
DGNX,2025-01-07,XNAS,Diginex Ltd.
MVRK,2025-01-22,XNAS,Maverick Lifestyle Inc.
BIYA,2025-03-05,XNAS,Baiya International Group Inc.
FATN,2025-03-20,XNAS,Fatpipe Inc.
TOPW,2025-03-28,XNAS,Top Win International Ltd
FCHL,2025-04-16,XNAS,Fitness Champs Holdings Ltd.
AIRO,2025-04-17,XNAS,AIRO Group Holdings Inc.
LHAI,2025-05-15,XNAS,Linkhome Holdings Inc.
HSFZ,2025-07-03,XNAS,Global Thrive Fulfill Group Inc.
RSHL,2025-09-26,XNAS,Rise Smart Group Holdings Ltd.
AIGO,2026-01-22,XNAS,Aigo Hold Ltd
HAWK,2026-05-07,XNYS,HawkEye 360 Inc.
SUJA,2026-05-07,XNAS,Suja Life Inc.
ODTX,2026-05-08,XNAS,Odyssey Therapeutics Inc
MOBI,2026-05-08,XNAS,Mobia Medical Inc.
AIAI,2026-05-11,XNAS,AIAI Holdings Corp
FRVO,2026-05-13,XNAS,Fervo Energy Co.
MWC,2026-05-13,XNAS,Micware Co. Ltd.
GMRS,2026-05-13,XNYS,GMR Solutions Inc.
CBRS,2026-05-14,XNAS,Cerebras Systems Inc
EROK,2026-05-14,XNYS,EagleRock Land LLC
BXDC,2026-05-14,XNYS,Blackstone Digital Infrastructure Trust Inc.
VIDA,2026-05-15,XASE,VIDA Global Inc.
AMAN,2026-05-19,XNAS,Amanat Acquisition Corp
RACC,2026-05-20,XNAS,Research Alliance Corp III
LCLN,2026-05-20,XNYS,Lincoln International Inc.
CNXU,2026-05-21,XNAS,Conexeu Sciences Inc.
FISN,2026-05-29,XNAS,Deep Fission Inc.
AADX,2026-06-03,XNYS,Applied Aerospace  Defense Inc.
LFTO,2026-06-04,XNAS,Liftoff Mobile Inc.
SSMR,2026-06-04,XNYS,Sunshine Silver Mining  Refining Co.
QNT,2026-06-04,XNAS,Quantinuum Inc.
INIO,2026-06-04,XNAS,Innio N.V.
WHK,2026-06-09,XNYS,WhiteHawk Minerals Corp.
EROC,2026-06-10,XNYS,ERock Inc.
PBLS,2026-06-10,XNAS,Parabilis Medicines Inc.
CAES,2026-06-11,XNAS,Cantor Equity Partners VII Inc.
FRBT,2026-06-11,XNAS,Forbright Inc.
SPCX,2026-06-12,XNAS,Space Exploration Technologies Corp.
KARD,2026-06-18,XNAS,Kardigan Inc.
FCBM,2026-06-18,XNYS,First Carolina Financial Services Inc
DSC,2026-06-25,XNAS,DSC Holdings Ltd.
DPC,2026-06-25,XNYS,DPC Holdings PLC
SIND,2026-06-26,XNYS,Sinda Ltd.
