ticker,ld,pop,size,delisted,n_bars,e0_ret_252,e0_spy_252,e126_ret_252,e126_spy_252,dipped,days_to_dip,entry_ord,entry_px,ret_end,spy_end,last_ord,ret_1y,spy_1y
TOPP,2025-01-22,-0.0299999713897705,10000000.0,False,325,-0.7662371189450593,0.1365180397071432,,,True,0.0,739273.0,3.759999990463257,-0.7340425525169234,0.20635182375832728,739743.0,-0.7587765937378472,0.13651803970714327
MCTR,2025-01-22,0.0,8000000.0,True,219,-0.755875,0.1263109293582216,-0.5601351351351351,0.0765690508463889,True,16.0,739289.0,4.0,-0.755875,0.13694092581187478,739594.0,-0.755875,0.13694092581187478
SKBL,2025-01-23,0.1,6000000.0,False,324,-0.2068181818181818,0.1360885608856088,,,True,12.0,739286.0,4.0,-0.16249999999999998,0.21569344278640057,739743.0,-0.25,0.1260261225032404
VG,2025-01-24,-0.0492417907714843,1750000000.0,False,323,-0.6261715222338258,0.1439544714377354,,,True,0.0,739275.0,23.76895523071289,-0.5088588482317692,0.20331595308979056,739743.0,-0.6261715222338258,0.14395447143773543
AAPG,2025-01-24,0.0,126356250.0,False,323,0.48347826971524,0.1439544714377354,,,True,3.0,739278.0,17.25,0.2579710587211277,0.22058161069122595,739743.0,0.4666666224382925,0.1602515975107195
SFD,2025-01-28,0.0524999999999999,521739160.0,False,321,0.1273159144893112,0.1480844306226427,,,True,0.0,739279.0,19.75,0.32050632911392407,0.21018328591279034,739743.0,0.2015189873417722,0.14808443062264276
BBNX,2025-01-30,0.2941176470588236,204000000.0,False,319,-0.3772727272727273,0.1493620256511967,,,True,36.0,739317.0,16.14,-0.34572490706319703,0.2702805945270177,739743.0,-0.3203221809169764,0.17582303097652452
MAZE,2025-01-31,0.0075,140000000.0,False,318,1.975806451612903,0.1457412515370042,,,True,0.0,739282.0,15.95,0.5968652037617554,0.21561264165365057,739743.0,2.007523510971787,0.14574125153700423
INR,2025-01-31,0.1079999923706054,265000000.0,False,318,-0.2545126095886272,0.1457412515370042,,,True,21.0,739303.0,19.68000030517578,-0.22103660132188563,0.2194219421942194,739743.0,-0.18191056240809744,0.1456979031236456
MTSR,2025-01-31,0.4166666666666667,275000004.0,True,199,1.7647058823529411,0.1166794058023992,1.0470383275261326,0.0647527607459164,True,63.0,739345.0,16.8,3.196428571428571,0.3300348321722608,739568.0,3.196428571428571,0.3300348321722608
