level,hour_bucket,n,p_beyond,p_behind,p_last,p_ambig,avg_min_to_beyond,med_min_to_beyond,avg_min_to_behind,med_min_to_behind
-0.786,10:00-11:00,315,0.3523809523809524,0.6349206349206349,0.0,0.012698412698412698,37.027027027027025,18.0,32.835,12.0
-0.786,11:00-12:00,193,0.3471502590673575,0.6321243523316062,0.0,0.02072538860103627,44.507462686567166,24.0,23.28688524590164,18.0
-0.786,12:00-13:00,128,0.3671875,0.609375,0.0234375,0.0,43.340425531914896,27.0,30.076923076923077,15.0
-0.786,13:00-14:00,112,0.29464285714285715,0.6339285714285714,0.044642857142857144,0.026785714285714284,37.0,24.0,25.35211267605634,15.0
-0.786,14:00-15:00,159,0.37735849056603776,0.559748427672956,0.0440251572327044,0.018867924528301886,35.4,34.5,19.752808988764045,15.0
-0.786,15:00-16:00,200,0.265,0.36,0.36,0.015,16.245283018867923,12.0,9.125,6.0
-0.618,09:30-10:00,795,0.5333333333333333,0.45031446540880504,0.0,0.016352201257861635,5.03066037735849,0.0,7.164804469273743,1.5
-0.618,10:00-11:00,423,0.25059101654846333,0.7304964539007093,0.0,0.018912529550827423,19.132075471698112,12.0,9.174757281553399,0.0
-0.618,11:00-12:00,231,0.2943722943722944,0.6796536796536796,0.0,0.025974025974025976,36.0,18.0,12.32484076433121,3.0
-0.618,12:00-13:00,130,0.2846153846153846,0.7,0.0,0.015384615384615385,29.756756756756758,18.0,16.318681318681318,6.0
-0.618,13:00-14:00,157,0.28662420382165604,0.6815286624203821,0.0,0.03184713375796178,23.133333333333333,18.0,15.14018691588785,6.0
-0.618,14:00-15:00,181,0.26519337016574585,0.6850828729281768,0.011049723756906077,0.03867403314917127,20.4375,15.0,8.975806451612904,3.0
-0.618,15:00-16:00,199,0.24623115577889448,0.5326633165829145,0.20100502512562815,0.020100502512562814,12.73469387755102,9.0,5.716981132075472,0.0
-0.50,09:30-10:00,1124,0.6218861209964412,0.3540925266903915,0.0,0.02402135231316726,2.7167381974248928,0.0,4.432160804020101,0.0
-0.50,10:00-11:00,524,0.29389312977099236,0.6603053435114504,0.0,0.04580152671755725,14.2012987012987,6.0,6.789017341040463,0.0
-0.50,11:00-12:00,234,0.3547008547008547,0.6111111111111112,0.0,0.03418803418803419,16.265060240963855,9.0,12.398601398601398,3.0
-0.50,12:00-13:00,151,0.25165562913907286,0.7152317880794702,0.0,0.033112582781456956,20.13157894736842,12.0,17.166666666666668,6.0
-0.50,13:00-14:00,153,0.3790849673202614,0.5816993464052288,0.0,0.0392156862745098,18.20689655172414,10.5,14.764044943820224,6.0
-0.50,14:00-15:00,190,0.30526315789473685,0.6368421052631579,0.0,0.05789473684210526,12.827586206896552,9.0,6.471074380165289,0.0
-0.50,15:00-16:00,200,0.31,0.53,0.13,0.03,10.35483870967742,9.0,5.066037735849057,0.0
-0.382,09:30-10:00,1646,0.681044957472661,0.30498177399756987,0.0,0.013973268529769137,4.185548617305977,0.0,10.595617529880478,6.0
-0.382,10:00-11:00,606,0.39933993399339934,0.5627062706270627,0.0,0.037953795379537955,16.487603305785125,9.0,13.134897360703812,6.0
-0.382,11:00-12:00,281,0.45195729537366547,0.5480427046263345,0.0,0.0,20.007874015748033,12.0,21.33116883116883,12.0
-0.382,12:00-13:00,153,0.38562091503267976,0.6013071895424836,0.0,0.013071895424836602,19.677966101694917,9.0,25.01086956521739,16.5
-0.382,13:00-14:00,147,0.41496598639455784,0.5238095238095238,0.0,0.061224489795918366,21.0,18.0,19.83116883116883,9.0
-0.382,14:00-15:00,191,0.39790575916230364,0.5287958115183246,0.005235602094240838,0.06806282722513089,14.56578947368421,9.0,12.831683168316832,6.0
-0.382,15:00-16:00,207,0.36231884057971014,0.3961352657004831,0.21256038647342995,0.028985507246376812,10.08,9.0,10.060975609756097,6.0
-0.236,09:30-10:00,2502,0.7617905675459632,0.2322142286171063,0.002797761790567546,0.0031974420463629096,10.641657922350472,0.0,39.51635111876076,24.0
-0.236,10:00-11:00,687,0.5254730713245997,0.4483260553129549,0.013100436681222707,0.013100436681222707,32.0775623268698,15.0,47.396103896103895,27.0
-0.236,11:00-12:00,285,0.5649122807017544,0.4,0.014035087719298246,0.021052631578947368,36.67080745341615,18.0,60.44736842105263,43.5
-0.236,12:00-13:00,156,0.5,0.47435897435897434,0.019230769230769232,0.00641025641025641,44.73076923076923,28.5,65.75675675675676,51.0
-0.236,13:00-14:00,148,0.5405405405405406,0.3783783783783784,0.05405405405405406,0.02702702702702703,33.0375,16.5,53.517857142857146,51.0
-0.236,14:00-15:00,173,0.45664739884393063,0.41040462427745666,0.10404624277456648,0.028901734104046242,24.379746835443036,18.0,23.028169014084508,15.0
