cut,entry_mode,variant,filter_status,atr_threshold_q25,n,t1_count,t2_count,t3_count,stop_count,timeout_count,t1_pct,t2_pct,t3_pct,stop_pct,timeout_pct,win_pct,pnl_points_total,pnl_points_avg,pnl_points_median,median_box_height,median_initial_risk_box_R,median_rr_to_t2,same_bar_conflict_count,same_bar_conflict_pct,train_n,train_t2_pct,holdout_n,holdout_t2_pct,publishable,strong_candidate
3m_bull_x_10m_po,close_confirm,gap_filter,ok,0.0798278413002692,806,360,186,63,510,233,0.4466501240694789,0.23076923076923078,0.07816377171215881,0.6327543424317618,0.2890818858560794,0.36476426799007444,-3.7793500000001643,-0.004689019851116829,-0.1799999999999642,0.3100000000000023,0.5,2.0,6,0.007444168734491315,788,0.233502538071066,18,0.1111111111111111,True,False
3m_bull_x_10m_po,close_confirm,short_box_tight_atr_gap,ok,0.0798278413002692,85,48,33,21,61,3,0.5647058823529412,0.38823529411764707,0.24705882352941178,0.7176470588235294,0.03529411764705882,0.38823529411764707,5.852550000000178,0.06885352941176681,-0.08249999999998181,0.1799999999999784,0.5,2.0,3,0.03529411764705882,83,0.39759036144578314,2,0.0,False,False
3m_bull_x_10m_po,retest,base,ok,0.0848828865353232,2050,901,522,175,1384,491,0.4395121951219512,0.2546341463414634,0.08536585365853659,0.6751219512195122,0.2395121951219512,0.36878048780487804,-81.48140000000005,-0.039747024390243926,-0.16500000000002046,0.28000000000000114,0.5,2.0,38,0.018536585365853658,2004,0.25449101796407186,46,0.2608695652173913,True,False
3m_bull_x_10m_po,retest,short_box,ok,0.0848828865353232,784,380,242,106,544,134,0.4846938775510204,0.3086734693877551,0.13520408163265307,0.6938775510204082,0.17091836734693877,0.3852040816326531,20.077850000002613,0.02560950255102374,-0.12000000000004007,0.2400000000000091,0.5,2.0,33,0.042091836734693876,769,0.305591677503251,15,0.4666666666666667,True,False
3m_bull_x_10m_po,retest,tight_atr,ok,0.0848828865353232,513,253,187,93,385,35,0.49317738791423,0.3645224171539961,0.18128654970760233,0.7504873294346979,0.0682261208576998,0.38011695906432746,12.05670000000201,0.02350233918129047,-0.10499999999998977,0.1599999999999966,0.5,2.0,28,0.05458089668615984,501,0.36327345309381237,12,0.4166666666666667,True,False
3m_bull_x_10m_po,retest,short_box_tight_atr,ok,0.0848828865353232,323,163,127,70,241,12,0.5046439628482973,0.3931888544891641,0.21671826625386997,0.7461300309597523,0.03715170278637771,0.39628482972136225,11.928150000002404,0.036929256965951715,-0.09375,0.1599999999999966,0.5,2.0,27,0.08359133126934984,317,0.3911671924290221,6,0.5,True,False
3m_bull_x_10m_po,retest,gap_filter,ok,0.0848828865353232,2050,901,522,175,1384,491,0.4395121951219512,0.2546341463414634,0.08536585365853659,0.6751219512195122,0.2395121951219512,0.36878048780487804,-81.48140000000005,-0.039747024390243926,-0.16500000000002046,0.28000000000000114,0.5,2.0,38,0.018536585365853658,2004,0.25449101796407186,46,0.2608695652173913,True,False
3m_bull_x_10m_po,retest,short_box_tight_atr_gap,ok,0.0848828865353232,323,163,127,70,241,12,0.5046439628482973,0.3931888544891641,0.21671826625386997,0.7461300309597523,0.03715170278637771,0.39628482972136225,11.928150000002404,0.036929256965951715,-0.09375,0.1599999999999966,0.5,2.0,27,0.08359133126934984,317,0.3911671924290221,6,0.5,True,False
10m_bear_x_1h_po,immediate_touch,base,ok,0.20532591982167295,715,359,206,72,431,212,0.5020979020979021,0.2881118881118881,0.1006993006993007,0.6027972027972028,0.2965034965034965,0.42937062937062936,-4.750899999999547,-0.006644615384614751,-0.19499999999999318,0.6500000000000057,0.5,2.0,22,0.03076923076923077,703,0.29160739687055476,12,0.08333333333333333,True,False
10m_bear_x_1h_po,immediate_touch,short_box,ok,0.20532591982167295,318,183,117,43,192,83,0.5754716981132075,0.36792452830188677,0.13522012578616352,0.6037735849056604,0.2610062893081761,0.4748427672955975,62.55164999999924,0.19670330188679006,-0.06999999999999318,0.5200000000000244,0.5,2.0,19,0.059748427672955975,313,0.3738019169329074,5,0.0,True,False
