date,gap_pct,abs_gap_pct,po_spy_open,po_spx_open,d_open,abs_d_open,po_spy_noon,po_spx_noon,d_noon,po_spy_eod,po_spx_eod,d_eod,dpo_spy_morning,dpo_spx_morning,dpo_spy_full,dpo_spx_full,fast_spy_bull_open,fast_spx_bull_open,slow_spy_bull_open,slow_spx_bull_open,fast_match_open,slow_match_open,lt_match_open,spy_morning_ret_pct,spy_afternoon_ret_pct,spy_full_ret_pct,gap_bin
2025-02-05,-0.1861207125764432,0.1861207125764432,44.923974681960615,1.10500938284855,43.818965299112065,43.818965299112065,62.88853164780266,55.10303056480615,7.785501082996511,43.75977523108334,46.595419344394074,-2.8356441133107353,17.964556965842043,53.9980211819576,-1.1641994508772768,45.490409961545524,1,1,1,1,1,1,0,0.39457911561001674,0.19236828576639992,0.5877064464571079,<0.25%
2025-02-06,0.30123971729811977,0.30123971729811977,11.105251714230038,74.44469659079587,-63.339444876565835,63.339444876565835,-5.870429523737014,23.632910550085953,-29.50334007382297,39.342647142974485,46.23579745181095,-6.893150308836468,-16.975681237967052,-50.81178604070992,28.23739542874445,-28.20889913898492,1,1,1,1,1,1,1,-0.16501922473968217,0.22314418420139553,0.05775672865889251,0.25-0.5%
2025-02-07,0.09070818352738637,0.09070818352738637,22.386358330333174,78.62310473214951,-56.23674640181634,56.23674640181634,-46.69107890360394,-46.81932507734474,0.1282461737408056,-30.161812367456744,-36.52040025219513,6.358587884738387,-69.0774372339371,-125.44242980949426,-52.548170697789914,-115.14350498434464,1,1,1,1,1,1,1,-0.7447807675196464,-0.2639573683948457,-1.0067722322002362,<0.25%
2025-02-10,0.5409634142281701,0.5409634142281701,-2.390434269467848,4.911434123511565,-7.301868392979413,7.301868392979413,-5.604214162157925,18.50466132240214,-24.108875484560066,1.4058021792246183,6.640809563971805,-5.2350073847471865,-3.213779892690077,13.593227198890574,3.7962364486924662,1.72937544046024,1,0,1,0,0,0,0,-0.03460093041735449,0.16047802246028825,0.12582156515404713,0.5-1%
2025-02-11,-0.37037649432034414,0.37037649432034414,0.1111552909985809,-31.44776312644395,31.55891841744253,31.55891841744253,0.5530935093561737,-28.19450526912594,28.747598778482114,20.015490126521463,13.851613796757714,6.163876329763749,0.44193821835759284,3.253257857318008,19.90433483552288,45.29937692320166,0,0,0,1,1,0,0,0.14604597128868899,0.29498036226241425,0.4414571404862803,0.25-0.5%
2025-02-12,-0.9930437368847161,0.9930437368847161,-78.53784055164535,-72.44403752689536,-6.093803024749988,6.093803024749988,28.810599139715478,14.287316808314891,14.523282331400587,-1.8968766288580479,-6.400633564930909,4.503756936072861,107.34843969136082,86.73135433521026,76.6409639227873,66.04340396196444,0,0,0,0,1,1,0,0.6842456608811597,0.009945300845360371,0.694259012016016,0.5-1%
2025-02-13,0.18562715460090237,0.18562715460090237,11.43287492481518,4.745375810105719,6.687499114709462,6.687499114709462,24.73370355057387,35.002918360064456,-10.269214809490585,66.97766373743852,76.83501279834152,-9.857349060903005,13.30082862575869,30.257542549958735,55.54478881262334,72.08963698823581,1,1,1,1,1,1,0,0.32589994706194203,0.5342567400445228,0.8618978295394448,<0.25%
2025-02-14,0.04100444488182518,0.04100444488182518,25.01298105014419,84.76736978866015,-59.75438873851596,59.75438873851596,-8.74299611113243,4.072233662421128,-12.815229773553558,-18.857799322635614,-17.453048535869026,-1.4047507867665878,-33.75597716127662,-80.69513612623902,-43.870780372779805,-102.22041832452918,1,1,1,1,1,1,1,-0.04918516575401977,0.009841873892798884,-0.03934813260320836,<0.25%
2025-02-18,0.19353780547809576,0.19353780547809576,-33.44609613766778,8.834377738896778,-42.28047387656456,42.28047387656456,-22.956272909506197,-1.1267662859812617,-21.829506623524935,40.49529513941966,45.36225717430179,-4.866962034882128,10.489823228161583,-9.96114402487804,73.94139127708743,36.52787943540501,0,1,1,1,0,1,1,-0.14079688318491168,0.21804206715223812,0.07693818753274413,<0.25%
2025-02-19,-0.20773697554592,0.20773697554592,-28.33629123292201,23.477855262984015,-51.81414649590603,51.81414649590603,59.94773958759684,66.66436317380484,-6.7166235862080015,32.67931170955895,32.028181270455704,0.6511304391032482,88.28403082051885,43.18650791082083,61.01560294248097,8.55032600747169,0,1,0,1,0,0,1,0.2849626278520736,0.17676811015031507,0.46223446105427746,<0.25%
2025-02-20,-0.22189590471529022,0.22189590471529022,1.0002031043913262,-2.293227540563265,3.2934306449545914,3.2934306449545914,-39.9721378744095,-46.07095476544354,6.098816891034041,49.48872225543997,49.45192996339521,0.03679229204475831,-40.97234097880082,-43.77772722488027,48.48851915104864,51.745157503958474,0,1,0,1,0,0,1,-0.5183634758151485,0.33203478146522375,-0.18804984138404313,<0.25%
2025-02-21,-0.037680827012241055,0.037680827012241055,-53.65090529044988,18.753049658194218,-72.4039549486441,72.4039549486441,-56.42228371885434,-43.31031252620887,-13.11197119264547,-65.33470228614154,-69.16878895105464,3.8340866649131016,-2.7713784284044607,-62.06336218440309,-11.683796995691658,-87.92183860924885,0,1,1,1,0,1,1,-0.5850924347711972,-1.0864010287014345,-1.665137013242423,<0.25%
2025-02-24,0.3366666666666636,0.3366666666666636,-19.926523441184234,-43.33866315405562,23.412139712871383,23.412139712871383,4.09309992018221,13.309974663081835,-9.216874742899625,-58.70976591185125,-69.8213403478338,11.111574435982547,24.019623361366442,56.648637817137455,-38.78324247066702,-26.48267719377818,0,0,0,0,1,1,1,-0.2641108268828331,-0.5379478040737313,-0.8006378525630272,0.25-0.5%
2025-02-25,-0.0083724045545995,0.0083724045545995,12.227661205382383,-68.07107536113473,80.2987365665171,80.2987365665171,-25.85532954739154,-42.484849336168566,16.629519788777024,-3.426179521963057,-4.81321576813718,1.387036246174123,-38.082990752773924,25.586226024966166,-15.65384072734544,63.25785959299755,1,0,0,0,0,1,1,-0.7443690864941701,0.2539205844391384,-0.49233860838984195,<0.25%
2025-02-26,0.2894599552346668,0.2894599552346668,-16.658739810115215,21.211819292834676,-37.87055910294989,37.87055910294989,11.621489504193129,27.016050278678698,-15.39456077448557,-4.656159760296001,-3.6607973928370323,-0.9953623674589687,28.280229314308343,5.804230985844022,12.002580049819214,-24.87261668567171,0,1,1,0,0,0,1,0.4262245565754498,-0.6750547228766817,-0.25170741530045476,0.25-0.5%
