date,year,atr,fwd_pts,fwd_atr,fwd_bps,po,day_ret,last_hr,last15,atr_pos,dist_hi,dist_lo,leave_acc,leave_dist,lo1,lo2,po_lo1,po_lo2,hi1,hi2,po_hi1,po_hi2
2011-11-30,2011,24.56371466977708,4.1400000000001,0.16854128358256457,33.311340338907485,147.80358729270554,1.8502901784607202,0.2507764026252624,0.16121340168766804,1.9125771745673175,0.020762332035532443,1.8502901784607202,0,0,1233.3,1237.09,-70.25276191295839,3.52150799923227,1238.69,1242.68,146.5178027178722,147.80358729270554
2011-12-01,2011,26.51773505050728,-0.060000000000172804,-0.002262636680164923,-0.4822569625862862,-87.12447061108854,-0.09314520999985541,-0.023757685141658807,-0.11728000125487362,-0.09503074056665238,0.2507755653842182,0.17761697939243626,1,1,1240.12,1244.4,-122.59571508289247,-83.26069010432424,1248.53,1247.64,142.28165112107115,105.48358812005506
2011-12-02,2011,25.435039689756753,-0.599999999999909,-0.023589505159747882,-4.81711037605502,-44.84322207150269,0.0003931584193288334,-0.10418698112223918,-0.0436405845455452,0.05740112922206331,0.5519944207381826,0.009042643644572107,0,0,1246.25,1245.81,-120.16560131711867,-58.18377072577155,1252.46,1249.14,23.90776954463941,59.67198581425566
2011-12-05,2011,24.813251140488415,5.209999999999809,0.20996845477852433,41.61674255132046,7.917335987713328,0.3095120408251707,-0.1394416225592569,0.03667395275402713,0.31152709317429106,0.5932314115815733,0.3095120408251707,0,0,1252.57,1250.06,-84.77651894044564,-49.58370455672441,1265.97,1252.57,32.41868541259965,-104.31339313255452
2011-12-06,2011,24.644447487596388,-2.630000000000109,-0.10671775057338148,-20.849684083684995,-74.46606177674772,0.16271413680579505,-0.07750224471297895,-0.029215505860393304,0.16717761686780458,0.19598735181346136,0.33151483733250886,1,0,1255.25,1261.2,-48.773790146965325,-74.46606177674772,1266.03,1265.83,109.48134774465431,98.29063558467996
2011-12-07,2011,23.812701238482358,-3.6700000000000728,-0.15411943245099777,-29.028379789287758,163.77499819642298,0.27926273182536615,0.4686574567174601,0.24398743938427,0.2654045812235087,0.0953272783824946,0.8394679713066446,0,0,1251.89,1252.8,-111.58558257925795,-19.456332604029363,1258.57,1267.06,38.85661245325248,163.77499819642298
2011-12-08,2011,23.70179400716219,-4.980000000000018,-0.2101106776345776,-40.18365057975824,-89.39258111173093,-0.9265121447500537,0.012657269737030376,-0.17551414035337531,-0.9324188706273352,0.9265121447500537,0.10547724780852251,0,1,1236.41,1238.42,-126.28695636366132,-89.39258111173093,1243.42,1246.4,-29.1785058578697,139.21638040132024
2011-12-09,2011,24.118808720936315,-2.7100000000000364,-0.11236044165181437,-21.54315786126553,133.00316787940278,0.9851232817885877,0.08002053593653358,0.06882595318893674,0.9905132660744725,0.0004146141758365707,0.9851232817885877,0,0,1252.1,1254.47,-86.77205203677377,-76.61261144488509,1258.25,1258.24,116.01299830923666,133.00316787940278
2011-12-12,2011,24.103179526583727,1.7000000000000455,0.07053011400944395,13.759277395126347,106.93225981008545,-0.8135856092500893,0.27174838044814253,0.07675335936322202,-0.8193939715802828,0.8135856092500893,0.339789196316079,0,0,1227.93,1229.66,-125.90950573687051,-26.31029468478427,1232.06,1237.3,125.91955794913827,187.79649067207032
2011-12-13,2011,24.37723813182775,2.2999999999999545,0.09435031103859942,18.805137890717248,-66.15561715327213,-0.5882536783884934,-0.45698368042175125,-0.13332109168498008,-0.5734858036172382,1.1227687013593508,0.1255269355557021,0,0,1230.75,1219.43,-101.42213838866458,-193.7443996810789,1245.13,1232.0,218.93369133579444,-97.73585156313683
2011-12-14,2011,24.809578265268613,-0.599999999999909,-0.02418420795325893,-4.950413359514769,-12.410042003677507,-0.5497876608041737,0.02861797941135304,-0.06529736147381378,-0.5497876608041737,0.5497876608041737,0.10560437472924226,0,0,1209.47,1211.17,-57.41542489809849,-12.410042003677507,1219.88,1214.58,74.46866965446894,57.964502295959115
2011-12-15,2011,24.19889410346371,-1.5600000000001728,-0.06446575588662468,-12.816615591907233,-6.735989250549676,0.24546576279904592,0.04049771844159381,0.012397260747424569,0.2578630235464705,0.3115844867853166,0.24546576279904592,0,0,1215.16,1217.06,-136.94282725213284,33.27008626908129,1220.53,1219.44,73.86985987192614,115.1290929605917
2011-12-16,2011,23.45468738178773,2.0399999999999636,0.08697621787890458,16.752206939026596,-37.9603861969633,0.07205382755654711,0.0008527080184198729,0.008100726174998487,0.08654986386969465,0.5653454162128895,0.10999933437626054,0,0,1216.14,1217.42,-73.98721253589498,-96.16388417820053,1220.75,1220.42,140.6829300394436,110.86703758064863
2011-12-19,2011,22.910781140231457,1.0899999999999181,0.04757585493607951,9.052103575995465,-25.77776345468864,-0.6865763285730163,-0.35005353815356466,0.0008729514667163269,-0.683084522706151,0.8973941077851978,0.03142625280181754,1,0,1204.87,1203.29,-193.05122232963583,-40.22604536306336,1215.01,1206.35,190.80659723494443,-97.25123970227637
2011-12-20,2011,22.860011058786355,-0.9200000000000728,-0.0402449499098762,-7.4093164100257125,61.652416052124046,1.5699904915927578,-0.015310578770066353,0.023622035816663004,1.5861759605782555,0.05293085803363892,1.5699904915927578,1,1,1236.98,1239.16,92.67623333244968,-90.09963186510288,1242.02,1242.82,196.51749921247495,90.52170318278135
2011-12-21,2011,23.903581697444476,-0.599999999999909,-0.025100840852818926,-4.824081816426875,32.63527006760484,0.09872997402109855,0.2204690521572922,0.07488417521091963,0.09663823728336522,0.06191540743696349,0.5898697600413303,0,1,1233.37,1241.43,-95.81887930805226,120.16983220510829,1241.74,1245.09,132.15315342108966,133.0048090281452
2011-12-22,2011,23.30904014762701,0.6400000000001,0.027457158078869053,5.106233594230755,-51.18832541076794,0.41872166070268724,-0.046333954258081164,-0.06735584091221239,0.41872166070268724,0.07464914852691396,0.41872166070268724,0,1,1252.27,1252.7,-128.5968434568439,-22.744554440538614,1255.12,1255.22,83.82354542975264,37.679174571503694
2011-12-23,2011,22.46553727993937,1.8600000000001273,0.0827934794891826,14.720314033367053,177.6807151390064,0.427321184460264,0.07611658598197675,0.09614726650355383,0.427321184460264,0.00400613610432149,0.427321184460264,1,1,1261.24,1261.31,-143.7988389636085,-140.2986748575376,1263.2,1263.6,54.65515418172036,177.6807151390064
2011-12-27,2011,21.676570331372275,-0.8700000000001182,-0.040135500528927136,-6.869487630975216,-97.77715297147121,0.06089524218180927,-0.08211631142698793,-0.06458586292010805,0.04659408682093165,0.13978226046279493,0.1863763472837266,1,0,1266.44,1265.96,-160.82769115478015,-109.04939735951444,1268.83,1268.26,171.12658781232105,-6.551896975402107
2011-12-28,2011,20.633243879131395,-1.3200000000001637,-0.06397442921397448,-10.554174095900372,51.53268445277693,-0.7095345785549065,-0.020355500204447426,0.08190665558455072,-0.7119578523887667,0.7323133525932032,0.1017775010222151,1,0,1250.38,1248.64,-147.62105499814723,-114.88965885977636,1254.11,1252.19,190.01054227034604,10.459445433342015
2011-12-29,2011,20.38872645919343,-1.1599999999998545,-0.05689418622205321,-9.183899673812066,126.06957442961176,0.6420214634885908,0.1647969531949285,0.08141754235225164,0.6474166018372295,0.008337941084271033,0.6420214634885908,0,0,1258.46,1260.69,-112.62148273942033,7.661097803626631,1261.33,1263.01,162.930554633167,126.06957442961176
2011-12-30,2011,19.92524599782246,-2.3599999999999,-0.1184427033050339,-18.72614598458981,35.21178577033199,-0.11342394469041817,0.07678700680368912,0.005018758614615729,-0.12346146191966104,0.1786678066804797,0.11894457916649548,0,0,1258.19,1259.96,-283.97887018766164,-32.88131112130978,1261.82,1261.29,77.6805810916385,144.02429065658418
2012-01-03,2012,18.97772842654942,-3.9700000000000273,-0.20919258147071415,-31.01029510552895,52.67329190482174,1.111829589176843,-0.028454406547651703,0.06902828255078645,1.178223204454701,0.24555098983715135,1.111829589176843,1,0,1275.76,1277.97,-37.00731102683189,-121.92128079621898,1281.51,1280.95,108.65520786638695,16.992213305334076
2012-01-04,2012,19.552176396081602,-1.1600000000000819,-0.05932843364857092,-9.073842302879239,109.93277872789699,0.07467199407492206,0.029664216824279645,0.08387813033073739,0.07313763803228811,0.012274848341083238,0.5313986427660468,0,1,1274.46,1276.1,-106.67503939899217,-112.202468630992,1278.67,1278.73,98.34889568739803,109.93277872789699
2012-01-05,2012,18.91487808207578,-0.6200000000001182,-0.03277842962084149,-4.837589631953982,81.17045905073667,0.226805585602229,0.08723291753931238,0.08458949579569904,0.226805585602229,0.07718791491358168,0.8633415414648985,0,0,1278.51,1278.78,87.25713597426738,-77.93650919472469,1283.05,1281.97,173.64032537588676,81.08340492830575
2012-01-06,2012,18.834529647641794,-1.75,-0.09291445195283182,-13.680211378808963,38.528548923298345,-0.09769290948184232,-0.045660816388255546,0.022299468468671427,-0.10459512591261784,0.14600842449730717,0.30529034213073314,0,1,1276.99,1277.71,-67.80916439948393,-117.127742932121,1281.49,1279.86,171.45639660055735,38.528548923298345
2012-01-09,2012,18.096348958524523,-0.6700000000000728,-0.03702404289040086,-5.22922747920073,70.77132805071176,0.19506697224343256,-0.0022103906203327535,0.05249677723264218,0.19617216755359265,0.032603261649760476,0.3763190031098514,0,0,1278.76,1279.98,-64.52900237386194,-13.364756265387946,1281.95,1281.76,107.49904086170199,77.55229315299158
2012-01-10,2012,17.335181175772775,0.7100000000000364,0.040957172169179,5.498547918683728,-27.07924738187586,0.5958980119825273,-0.10614253069195981,-0.0576861579847562,0.5999360430414566,0.30919780679830056,0.5958980119825273,1,0,1290.13,1290.15,-75.03690086692171,-121.85048790700176,1293.76,1292.76,93.87672091692143,-42.61393238546093
2012-01-11,2012,17.222668234646147,-0.7699999999999818,-0.044708519580665435,-5.955050965955529,29.783476763632727,0.05806301244242401,0.09928775127654717,-0.02961213634563572,0.05457923169588174,0.04528914970508915,0.4418595246868409,0,1,1288.82,1291.24,-138.71738477403318,61.91411479432138,1292.19,1293.8,135.40201233865702,113.50490454138966
2012-01-12,2012,16.591763360742842,-0.5,-0.03013543462071256,-3.8582330835770446,91.11381021938848,0.19708574241945903,0.06268170401107993,0.03616252154484959,0.19708574241945903,0.06448983008832104,0.6015032750294238,0,0,1291.16,1294.34,-164.96654875749124,30.201380056230164,1295.18,1295.83,132.83030744358717,91.11381021938848
2012-01-13,2012,16.195923120689777,0.31999999999993634,0.019758058717329087,2.483527229547271,24.18289429583694,-0.3994832496910786,0.19325851182890627,0.014818544038000325,-0.4414691244654152,0.3994832496910786,0.6649821637052382,0,1,1280.77,1287.02,-118.23274734859464,-33.23482780053342,1288.73,1289.41,193.07118086624263,72.4407862900889
2012-01-17,2012,16.31907146921194,-0.19000000000005457,-0.011642819284082086,-1.4685990338168469,62.458106655031,0.2034429474902141,-0.14032661137126262,0.0416690374377594,0.27268708323237334,0.5796898443546596,0.2034429474902141,0,0,1291.04,1290.88,-187.12062557044743,-118.1134112536707,1299.25,1293.75,115.93700130085779,62.458106655031
2012-01-18,2012,16.14699493569681,0.8100000000001728,0.05016413290682796,6.198157387286683,-5.439838699209174,0.8094385396198746,0.08298757789522349,-0.027249652443212754,0.8081999190542752,0.08608412930922173,0.9741750748447363,0,0,1302.63,1306.12,-119.4414826952443,-32.15880951075688,1306.98,1308.11,92.1956599149812,88.861233613624
2012-01-19,2012,16.216495297432743,0.009999999999990905,0.0006166560540102657,0.07607860441401143,30.857741339976553,0.39280990640490376,0.10483152918184331,0.033299426916582386,0.3946598745669346,0.06474888567113397,0.39280990640490376,0,0,1311.8,1313.18,-66.2196379077564,31.395741191907785,1315.49,1314.54,130.81976204029377,97.53695147677121
2012-01-20,2012,15.590317061901837,1.9400000000000546,0.12443621206016686,14.77284841839185,84.23718490013093,-0.08402651432928207,0.1609973671500046,0.025656950940245702,-0.08466793810278748,0.08402651432928207,0.2572109331759041,1,0,1310.25,1311.95,-169.8965242567458,-88.08228994778521,1313.62,1313.18,160.31116786293967,84.23718490013093
2012-01-23,2012,14.920294414623138,-1.0800000000001546,-0.07238463062375393,-8.199397192466838,44.396148219780116,0.12064105103956956,0.201738646460618,0.03753277143453004,0.11460899848758117,0.34784836383077133,0.4825642041582782,0,0,1311.5,1316.0,-57.58234076971133,32.14526120495613,1316.82,1317.19,107.26650808521943,41.6449563837908
2012-01-24,2012,14.739559099292904,1.4400000000000546,0.09769627370123542,10.96716704366345,-125.2472102750682,-0.2028554571990859,-0.056311046647232785,-0.11397898598477466,-0.2055692425796732,0.2028554571990859,0.4688064244968883,0,1,1310.89,1312.88,-112.29913339134235,-125.2472102750682,1314.52,1314.8,89.58326080948811,96.52889762400295
2012-01-25,2012,14.396733449343417,-0.75,-0.052095150795071835,-5.65372090218309,77.46697794092373,0.8404684328271527,0.3896717279471304,0.0889090573569207,0.8231033825621287,0.025700274392227856,1.309324789982799,0,0,1314.83,1322.1,27.73486497803915,4.5629778802205685,1324.56,1326.87,45.150704330534076,112.43460077827253
2012-01-26,2012,14.843395345818879,0.8900000000001,0.05995932731460914,6.753834128869985,82.97468178610876,-0.5881403679286292,0.028969113196947022,0.26139571907938225,-0.5733189611767032,1.0725308885937916,0.2661116212277328,1,0,1315.72,1313.6,-73.68757812517926,-115.9308740793584,1324.1,1317.55,72.74274112418577,82.97468178610876
2012-01-27,2012,15.202438535403253,-2.7899999999999636,-0.18352318896094502,-21.145654908974876,26.95468894137117,0.07827691572169801,0.22627948746439755,-0.017760308609122748,0.06643670998227785,0.04078293088020336,0.5078132683793976,0,1,1311.78,1318.23,-90.12888483349366,139.6229895240079,1318.23,1320.06,104.76994297470061,108.34203333456665
2012-01-30,2012,14.712264354303015,2.130000000000109,0.1447771701693989,16.250114437426447,-59.30383627903049,-0.3554857276929202,-0.17128566611589854,-0.13050336465972265,-0.36704071310549025,0.3554857276929202,0.7096120453373028,1,1,1306.05,1310.11,-109.72356217395692,-113.91396964548795,1314.0,1313.32,93.35561100940014,64.55204981110826
2012-01-31,2012,14.79281690042422,0.43000000000006366,0.029068162128589068,3.2765399737881653,-6.909573168702287,-0.0831484637631623,0.06760037704322039,-0.06151634310933608,-0.04799626770068893,0.6158394348637463,0.3792381152124596,0,1,1308.67,1311.53,-172.77754696183587,-54.80470521599341,1313.04,1313.92,58.48513874152805,118.14297726320582
2012-02-01,2012,14.787615693251064,-1.8600000000001273,-0.1257809263226265,-14.027360895338749,-15.451020561053554,0.9163072858448744,-0.11969475246829643,-0.012172347708644745,0.9190122520023477,0.3056611757947476,0.9163072858448744,1,0,1326.7,1325.14,-96.49693176084298,-110.86986827198126,1330.52,1328.02,87.18249064923458,-13.248608809502754
2012-02-02,2012,15.02492885801884,-1.1900000000000546,-0.07920170612754342,-8.969353452824627,22.436305106998987,0.17104906281325394,0.06988385834782619,0.04459255723146169,0.18103247114866416,0.15840341225508683,0.3487537311834531,0,1,1323.53,1325.51,-86.3191514763015,-30.30650450693537,1326.49,1327.48,74.41196124457468,120.23231670131543
2012-02-03,2012,14.49600536816036,1.6499999999998636,0.11382446115976154,12.286475940845186,-24.258959914680823,1.141693837693457,-0.059326688846904015,-0.035871951395805346,1.1879134673765206,0.1262416751044682,1.141693837693457,1,0,1342.43,1342.21,-128.15483920452905,-70.83473504689493,1344.33,1343.73,65.20471611884513,-52.57235270612627
2012-02-06,2012,14.874862127577474,0.4799999999997908,0.03226920665771332,3.5717474774517872,66.56235336396136,-0.044370159154365374,0.09882444538929196,0.06655523873156335,-0.0833621171991297,0.044370159154365374,0.4127769351634362,0,0,1340.5,1342.47,-131.7001870741526,-26.7025149592912,1343.37,1343.66,115.52834915227369,66.56235336396136
2012-02-07,2012,14.33951483275052,-1.8199999999999363,-0.12692200686198774,-13.493375642232312,39.40714090884728,0.31033128051421477,0.17643553701144873,-0.009065857633007051,0.31033128051421477,0.02092120992230323,0.8968225320028608,0,1,1344.86,1347.07,-124.10577727270143,110.35692310955994,1347.99,1349.08,176.71425097901516,120.55877748650397
2012-02-08,2012,14.266692344696908,0.12999999999988177,0.009112133132120441,0.9630414330047764,34.74761397831087,0.1885510625032829,0.03995319911779074,0.021027999535678493,0.18785012918542748,0.08901853136771784,0.5453261212920097,1,0,1345.74,1348.59,-102.81037401978782,-62.748634912136325,1350.19,1349.93,153.98634688315843,41.359944079065095
2012-02-09,2012,13.89407146293284,0.35999999999989996,0.02591033168069722,2.6633522727265326,-96.5104532991797,0.12451353835449755,-0.1345897784525401,-0.08348884652670377,0.12523326979007202,0.18856963612067432,0.5088501249516072,0,0,1351.83,1351.49,-35.50857929681996,-96.5104532991797,1354.32,1353.22,97.38942428131003,-6.949006601775931
2012-02-10,2012,13.593780644151911,2.240000000000009,0.1647812377319524,16.712052822024166,59.23904239070147,-0.8084579476223889,-0.029425221023552772,0.03751715680504191,-0.8628946065159807,0.8084579476223889,0.21112596084407184,0,1,1337.45,1338.42,-156.91398046129706,-28.3433678632136,1343.08,1340.25,103.07173068344761,59.23904239070147
