entry_ts,exit_ts,pnl_pts,reason,ticker
2026-04-06 09:42:00,2026-04-06 09:48:00,-1.0294453776721082,stop,IWM
2026-04-06 09:57:00,2026-04-06 10:05:00,-1.1118117778529961,stop,IWM
2026-04-08 11:48:00,2026-04-08 14:34:00,-0.8449999999999886,ribbon,IWM
2026-04-09 09:42:00,2026-04-09 10:16:00,-0.9800000000000364,ribbon,IWM
2026-04-09 11:21:00,2026-04-09 14:28:00,1.2549999999999772,ribbon,IWM
2026-04-10 15:15:00,2026-04-10 15:36:00,-0.41381614389276367,stop,IWM
2026-04-13 15:00:00,2026-04-13 15:59:00,0.5850000000000182,eod,IWM
2026-04-14 11:24:00,2026-04-14 14:16:00,-0.656099999999999,ribbon,IWM
2026-04-15 15:30:00,2026-04-15 15:59:00,0.30000000000005,eod,IWM
2026-04-16 09:36:00,2026-04-16 09:41:00,-0.6644318391765478,stop,IWM
2026-04-16 15:09:00,2026-04-16 15:59:00,0.14000000000002502,eod,IWM
2026-04-17 09:33:00,2026-04-17 14:07:00,1.7100000000000182,ribbon,IWM
2026-04-20 10:15:00,2026-04-20 11:10:00,-0.77,ribbon,IWM
2026-04-20 11:33:00,2026-04-20 13:58:00,-0.6100000000000319,ribbon,IWM
2026-04-23 09:30:00,2026-04-23 10:00:00,-0.5171991826082558,stop,IWM
2026-04-23 10:33:00,2026-04-23 11:52:00,-0.5399999999999818,ribbon,IWM
2026-04-24 10:36:00,2026-04-24 15:16:00,0.6699999999999977,ribbon,IWM
2026-04-30 09:33:00,2026-04-30 09:52:00,-0.9820545758203889,stop,IWM
2026-04-30 11:57:00,2026-04-30 15:59:00,1.8799999999999772,eod,IWM
2026-05-01 10:06:00,2026-05-01 15:59:00,0.8500000000000045,eod,IWM
2026-05-05 15:00:00,2026-05-05 15:51:00,-0.38476659602152496,stop,IWM
2026-05-06 09:33:00,2026-05-06 09:49:00,-0.9392681222855299,stop,IWM
2026-05-06 10:51:00,2026-05-06 15:59:00,1.6650000000000023,eod,IWM
2026-05-13 10:57:00,2026-05-13 15:59:00,1.229900000000025,eod,IWM
2026-05-20 11:48:00,2026-05-20 15:59:00,0.5899999999999568,eod,IWM
2026-05-21 11:03:00,2026-05-21 12:52:00,-0.46999999999998865,ribbon,IWM
2026-05-22 09:33:00,2026-05-22 15:07:00,0.23,ribbon,IWM
2026-05-26 15:21:00,2026-05-26 15:59:00,0.3797999999999706,eod,IWM
2026-05-27 09:30:00,2026-05-27 09:31:00,-0.46966962753159125,stop,IWM
2026-05-27 10:03:00,2026-05-27 10:26:00,-1.150107816684074,stop,IWM
2026-06-02 10:48:00,2026-06-02 12:40:00,-0.9200000000000341,ribbon,IWM
2026-06-04 15:39:00,2026-06-04 15:45:00,-0.47616722806795453,stop,IWM
2026-06-10 09:39:00,2026-06-10 10:57:00,-1.7856501669566751,stop,IWM
2026-06-11 15:21:00,2026-06-11 15:59:00,0.7900000000000023,eod,IWM
2026-06-12 09:54:00,2026-06-12 12:07:00,0.899999999999959,ribbon,IWM
2026-06-15 11:42:00,2026-06-15 13:43:00,-0.6599999999999864,ribbon,IWM
2026-06-17 11:21:00,2026-06-17 14:00:00,-1.1832940566472598,stop,IWM
2026-06-18 11:00:00,2026-06-18 11:38:00,-1.5659415999575867,stop,IWM
2026-06-22 09:30:00,2026-06-22 10:54:00,-0.7187272974952816,stop,IWM
2026-06-24 10:30:00,2026-06-24 13:01:00,0.7149999999999568,ribbon,IWM
2026-06-26 11:42:00,2026-06-26 12:12:00,-1.2927671569518293,stop,IWM
2026-06-29 15:00:00,2026-06-29 15:59:00,0.5650000000000364,eod,IWM
2026-06-30 09:30:00,2026-06-30 09:34:00,-0.6110768198586993,stop,IWM
2026-06-30 10:15:00,2026-06-30 15:59:00,0.8200000000000318,eod,IWM
2026-07-06 11:15:00,2026-07-06 13:46:00,-0.6400000000000046,ribbon,IWM
2026-07-09 09:33:00,2026-07-09 15:55:00,1.9999999999999818,ribbon,IWM
