month_end,direction,open_dom,open_wom,completes,days_to_complete,days_trig_to_open,d_ema21_slope,d_px_minus_ema21,d_po,d_po_slope,d_zone,w_ema21_slope,w_po,w_po_slope,w_zone,atr_14,pmc
2009-09-30,up,16,3,False,,3,0.2722,30.83,67.3,3.56,distribution,0.7953,59.5,4.49,neutral_up,113.36,1020.62
2009-10-31,up,19,3,False,,3,0.2549,24.4,66.6,-8.5,distribution,0.8237,62.9,7.53,distribution,111.56,1057.08
2009-11-30,up,9,2,True,2.0,2,-0.0707,7.54,2.3,12.1,neutral,0.5187,42.5,0.95,neutral_up,109.4,1036.19
2010-01-31,down,29,5,False,,5,-0.2702,-31.74,-65.4,-7.47,accumulation,0.1269,36.9,-23.85,neutral_up,103.1,1115.1
2010-03-31,up,9,2,True,6.0,2,0.1971,28.27,66.5,6.89,distribution,0.4553,33.5,15.46,neutral_up,98.98,1104.49
2010-04-30,up,14,2,False,,3,0.1908,23.86,75.9,-0.12,distribution,0.6304,71.9,8.68,distribution,97.35,1169.43
2010-05-31,down,6,1,True,0.0,1,-0.0458,-23.72,-31.5,-17.82,neutral_down,0.4033,65.6,-15.02,distribution,94.0,1186.69
2010-06-30,up,21,3,False,,4,0.1138,16.29,21.8,2.68,neutral,-0.0157,-13.3,12.03,neutral,99.02,1089.41
2010-06-30,down,7,1,False,,1,-0.279,-44.32,-39.7,-14.99,neutral_down,-0.5385,-30.6,-11.07,neutral_down,99.02,1089.41
2010-07-31,up,8,2,True,3.0,1,-0.3901,-8.61,-41.5,28.7,neutral_down,-0.8252,-39.4,-18.88,neutral_down,99.3,1030.71
2010-08-31,down,24,4,True,3.0,8,-0.1424,-23.99,-41.7,-6.24,neutral_down,-0.2462,-12.6,-6.76,neutral,100.07,1101.6
2010-09-30,up,2,1,True,5.0,1,-0.1806,5.23,-19.7,29.24,neutral,-0.2859,-17.6,-4.93,neutral,99.32,1049.33
2010-10-31,up,13,2,False,,3,0.2211,26.78,61.3,1.98,neutral_up,0.446,35.2,7.86,neutral_up,99.92,1141.2
2010-11-30,up,4,1,False,,0,0.1395,22.31,48.6,6.48,neutral_up,0.4495,46.5,0.51,neutral_up,97.38,1183.26
2010-12-31,up,2,1,True,6.0,1,0.0006,13.52,6.7,21.92,neutral,0.3064,41.2,-8.21,neutral_up,94.28,1180.55
2011-01-31,up,18,3,False,,3,0.1684,28.57,85.6,10.97,distribution,0.6844,84.7,9.46,distribution,93.41,1257.64
2011-02-28,up,7,1,True,9.0,4,0.1484,22.75,62.0,4.37,distribution,0.6459,81.8,9.46,distribution,89.96,1286.12
2011-03-31,down,11,2,True,2.0,8,-0.0155,-19.34,-16.7,-24.12,neutral,0.4751,77.9,-9.71,distribution,87.67,1327.22
2011-04-30,up,28,4,False,,2,0.1449,29.41,59.9,14.13,neutral_up,0.37,47.4,2.99,neutral_up,87.35,1325.83
2011-05-31,down,5,1,False,,1,0.1741,9.34,44.2,-19.26,neutral_up,0.5047,58.7,11.32,neutral_up,86.1,1363.61
2011-06-30,down,2,1,True,2.0,1,-0.0438,-17.65,-16.5,-22.68,neutral,0.1766,30.1,-5.6,neutral_up,84.15,1345.2
2011-07-31,up,7,1,False,,3,0.2274,33.7,70.7,3.08,distribution,0.2842,5.2,29.94,neutral,84.36,1320.64
2011-07-31,down,29,5,False,,9,0.0222,-18.64,-20.1,-17.79,neutral,0.2609,23.4,8.52,neutral,84.36,1320.64
2011-08-31,down,2,1,True,1.0,0,-0.1205,-27.19,-42.6,-8.09,neutral_down,-0.1241,4.8,-18.66,neutral,83.6,1292.28
2011-09-30,down,2,1,True,1.0,0,0.0783,6.39,10.5,-3.83,neutral,-0.7403,-64.5,10.03,accumulation,92.33,1218.89
2011-10-31,up,7,1,True,1.0,1,-0.2582,5.4,-11.8,17.29,neutral,-0.8241,-48.4,-3.01,neutral_down,93.95,1131.42
2011-10-31,down,4,1,False,,1,-0.2667,-64.96,-49.1,-18.97,neutral_down,-0.8241,-48.4,-3.01,neutral_down,93.95,1131.42
2011-11-30,down,17,3,True,2.0,12,0.0882,-3.88,7.2,-12.11,neutral,0.2509,14.9,1.98,neutral,102.81,1253.3
2011-12-31,down,19,3,False,,4,-0.0732,-8.75,-14.0,1.27,neutral,-0.0666,0.5,-4.95,neutral,103.95,1246.96
2012-01-31,up,10,2,True,8.0,5,0.2175,24.58,47.2,0.09,neutral_up,0.3146,17.7,6.11,neutral,101.31,1257.6
2012-02-29,up,8,2,True,14.0,3,0.2273,33.73,76.3,2.5,distribution,0.6072,45.8,8.92,neutral_up,99.5,1312.41
2012-03-31,up,16,3,False,,3,0.1853,35.29,82.6,11.54,distribution,0.5087,57.2,-1.33,neutral_up,97.08,1365.68
2012-04-30,down,10,2,False,,1,0.0461,-13.22,-8.7,-24.27,neutral,0.465,61.6,-5.74,neutral_up,95.8,1408.47
2012-05-31,down,8,2,True,4.0,2,-0.0096,-17.16,-25.9,-12.76,neutral_down,0.1533,31.0,-13.28,neutral_up,93.6,1397.91
2012-06-30,up,18,3,False,,5,0.0255,20.26,20.4,15.86,neutral,0.055,-6.6,12.44,neutral,95.72,1310.33
2012-06-30,down,4,1,False,,1,-0.2047,-51.77,-68.7,-25.04,accumulation,-0.4506,-31.0,-15.58,neutral_down,95.72,1310.33
2012-07-31,down,12,2,False,,2,0.0688,-1.29,5.1,-7.53,neutral,0.113,10.0,2.25,neutral,95.79,1362.16
2012-08-31,up,16,3,False,,7,0.1734,20.98,51.8,-1.24,neutral_up,0.3557,34.3,7.21,neutral_up,93.69,1379.32
2012-09-30,up,13,2,True,0.0,5,0.169,22.5,61.3,3.15,neutral_up,0.4312,46.3,9.4,neutral_up,92.14,1406.58
