tf,side,entry,exit,stop,htf,tod,n_trades,win_rate,avg_r_gross,avg_r_net,total_r_net,pf_net,t_stat,pos_years_pct,r_2008_2019,r_2020_2026
3m,long,two_consec,close_against,atr_1.5,none,1100-1400,12201,31.2,-0.0283,-0.1476,-1800.9,0.644,-18.35,0.0,-1540.6,-260.2
3m,long,two_consec,close_against,atr_1.5,none,1400-1530,6275,30.9,-0.0258,-0.157,-985.0,0.672,-12.05,11.0,-858.9,-126.1
3m,long,two_consec,close_against,atr_1.5,10m_ribbon,all,18649,32.1,-0.0151,-0.135,-2517.9,0.688,-19.46,0.0,-2182.3,-335.6
3m,long,two_consec,close_against,atr_1.5,10m_ribbon,0930-1100,4747,36.2,0.0106,-0.0789,-374.5,0.789,-6.3,16.0,-336.0,-38.5
3m,long,two_consec,close_against,atr_1.5,10m_ribbon,1100-1400,8183,30.4,-0.0322,-0.1583,-1295.4,0.628,-15.92,11.0,-1088.4,-207.0
3m,long,two_consec,close_against,atr_1.5,10m_ribbon,1400-1530,4481,30.5,-0.0231,-0.1616,-723.9,0.668,-10.37,11.0,-638.1,-85.9
3m,long,two_consec,be_after_1r,candle_low,none,all,29838,23.0,-0.0545,-0.2647,-7898.5,0.602,-30.18,0.0,-6235.6,-1663.0
3m,long,two_consec,be_after_1r,candle_low,none,0930-1100,6829,25.6,-0.0202,-0.1971,-1346.2,0.69,-10.61,0.0,-1188.9,-157.3
3m,long,two_consec,be_after_1r,candle_low,none,1100-1400,13904,22.0,-0.0795,-0.305,-4240.2,0.549,-24.94,0.0,-3265.6,-974.6
3m,long,two_consec,be_after_1r,candle_low,none,1400-1530,7063,22.0,-0.0556,-0.2744,-1938.4,0.594,-14.84,11.0,-1509.1,-429.2
3m,long,two_consec,be_after_1r,candle_low,10m_ribbon,all,21082,22.9,-0.0472,-0.2661,-5610.4,0.604,-25.32,5.0,-4424.4,-1185.9
3m,long,two_consec,be_after_1r,candle_low,10m_ribbon,0930-1100,5274,26.3,0.0006,-0.1813,-956.4,0.713,-8.51,11.0,-860.2,-96.2
3m,long,two_consec,be_after_1r,candle_low,10m_ribbon,1100-1400,9346,21.4,-0.0845,-0.3221,-3010.5,0.532,-21.46,5.0,-2291.2,-719.3
3m,long,two_consec,be_after_1r,candle_low,10m_ribbon,1400-1530,5050,21.8,-0.0436,-0.272,-1373.7,0.6,-12.28,5.0,-1075.6,-298.1
3m,long,two_consec,be_after_1r,atr_1.0,none,all,28044,27.1,-0.0317,-0.2055,-5764.2,0.65,-27.1,0.0,-4937.8,-826.4
3m,long,two_consec,be_after_1r,atr_1.0,none,0930-1100,6450,30.6,-0.0106,-0.1416,-913.3,0.731,-9.67,16.0,-805.0,-108.3
3m,long,two_consec,be_after_1r,atr_1.0,none,1100-1400,12863,26.9,-0.0412,-0.2217,-2851.8,0.617,-20.68,5.0,-2384.3,-467.4
3m,long,two_consec,be_after_1r,atr_1.0,none,1400-1530,6746,24.8,-0.0374,-0.2365,-1595.2,0.632,-14.03,11.0,-1431.1,-164.1
3m,long,two_consec,be_after_1r,atr_1.0,10m_ribbon,all,19793,27.1,-0.0223,-0.2041,-4040.4,0.656,-22.22,0.0,-3502.2,-538.2
3m,long,two_consec,be_after_1r,atr_1.0,10m_ribbon,0930-1100,4943,32.1,0.0165,-0.118,-583.3,0.772,-6.98,16.0,-533.4,-49.9
3m,long,two_consec,be_after_1r,atr_1.0,10m_ribbon,1100-1400,8647,26.0,-0.0447,-0.2358,-2039.0,0.603,-17.6,11.0,-1707.5,-331.5
3m,long,two_consec,be_after_1r,atr_1.0,10m_ribbon,1400-1530,4834,24.3,-0.0303,-0.2399,-1159.6,0.629,-11.99,11.0,-1046.2,-113.4
3m,long,two_consec,be_after_1r,atr_1.5,none,all,26531,31.3,-0.0207,-0.1355,-3595.7,0.68,-23.75,0.0,-3102.1,-493.6
3m,long,two_consec,be_after_1r,atr_1.5,none,0930-1100,6205,34.2,-0.0095,-0.0967,-600.1,0.745,-8.96,16.0,-526.4,-73.7
3m,long,two_consec,be_after_1r,atr_1.5,none,1100-1400,12213,30.6,-0.0279,-0.1473,-1799.4,0.642,-18.4,0.0,-1536.6,-262.8
3m,long,two_consec,be_after_1r,atr_1.5,none,1400-1530,6298,29.7,-0.026,-0.1573,-990.5,0.667,-12.18,11.0,-865.4,-125.1
3m,long,two_consec,be_after_1r,atr_1.5,10m_ribbon,all,18688,31.3,-0.015,-0.135,-2523.5,0.685,-19.58,5.0,-2189.2,-334.4
3m,long,two_consec,be_after_1r,atr_1.5,10m_ribbon,0930-1100,4749,35.7,0.011,-0.0785,-372.6,0.789,-6.27,16.0,-339.5,-33.1
3m,long,two_consec,be_after_1r,atr_1.5,10m_ribbon,1100-1400,8192,29.8,-0.0315,-0.1577,-1292.2,0.627,-15.94,11.0,-1084.7,-207.6
3m,long,two_consec,be_after_1r,atr_1.5,10m_ribbon,1400-1530,4498,29.3,-0.0232,-0.1618,-727.6,0.663,-10.49,11.0,-641.1,-86.5
3m,short,confirm,cbc_after_1r,candle_low,none,all,25846,37.5,-0.067,-0.2223,-5744.7,0.679,-26.15,0.0,-4690.5,-1054.2
3m,short,confirm,cbc_after_1r,candle_low,none,0930-1100,6057,38.1,-0.065,-0.1918,-1161.9,0.717,-10.72,5.0,-928.5,-233.3
3m,short,confirm,cbc_after_1r,candle_low,none,1100-1400,11769,37.4,-0.0689,-0.2359,-2776.5,0.666,-18.86,0.0,-2272.9,-503.6
3m,short,confirm,cbc_after_1r,candle_low,none,1400-1530,6149,37.0,-0.0741,-0.2384,-1466.2,0.66,-13.48,5.0,-1232.7,-233.4
3m,short,confirm,cbc_after_1r,candle_low,10m_ribbon,all,16813,38.3,-0.0529,-0.1984,-3336.5,0.708,-18.71,0.0,-2573.8,-762.7
3m,short,confirm,cbc_after_1r,candle_low,10m_ribbon,0930-1100,4345,38.2,-0.0621,-0.1875,-814.6,0.723,-8.72,5.0,-612.7,-201.9
3m,short,confirm,cbc_after_1r,candle_low,10m_ribbon,1100-1400,7537,37.8,-0.0658,-0.2222,-1674.4,0.68,-14.44,0.0,-1268.5,-405.9
3m,short,confirm,cbc_after_1r,candle_low,10m_ribbon,1400-1530,3827,39.0,-0.0344,-0.1855,-710.1,0.725,-8.13,21.0,-606.3,-103.8
3m,short,confirm,cbc_after_1r,atr_1.0,none,all,27791,37.9,-0.0588,-0.2235,-6210.8,0.681,-27.58,5.0,-5265.9,-944.9
3m,short,confirm,cbc_after_1r,atr_1.0,none,0930-1100,6237,39.4,-0.0544,-0.178,-1110.5,0.734,-10.79,11.0,-941.1,-169.4
3m,short,confirm,cbc_after_1r,atr_1.0,none,1100-1400,12478,38.3,-0.0611,-0.2308,-2879.9,0.672,-19.28,0.0,-2421.6,-458.4
3m,short,confirm,cbc_after_1r,atr_1.0,none,1400-1530,6937,35.9,-0.0745,-0.2639,-1830.5,0.638,-15.76,11.0,-1544.3,-286.2
3m,short,confirm,cbc_after_1r,atr_1.0,10m_ribbon,all,17636,39.3,-0.0388,-0.1862,-3284.6,0.725,-18.53,0.0,-2663.0,-621.6
3m,short,confirm,cbc_after_1r,atr_1.0,10m_ribbon,0930-1100,4383,39.8,-0.0436,-0.1611,-706.0,0.756,-8.23,5.0,-561.3,-144.7
3m,short,confirm,cbc_after_1r,atr_1.0,10m_ribbon,1100-1400,7828,39.0,-0.0596,-0.2136,-1671.8,0.69,-14.47,0.0,-1325.0,-346.8
3m,short,confirm,cbc_after_1r,atr_1.0,10m_ribbon,1400-1530,4186,38.8,-0.023,-0.1882,-787.8,0.726,-8.67,16.0,-674.9,-112.9
3m,short,confirm,cbc_after_1r,atr_1.5,none,all,20720,42.2,-0.0465,-0.1562,-3236.2,0.751,-18.66,5.0,-2800.9,-435.3
3m,short,confirm,cbc_after_1r,atr_1.5,none,0930-1100,5024,42.5,-0.0541,-0.1373,-689.6,0.779,-8.26,5.0,-567.7,-121.9
3m,short,confirm,cbc_after_1r,atr_1.5,none,1100-1400,8761,42.9,-0.0362,-0.1496,-1311.1,0.764,-11.55,5.0,-1171.7,-139.4
3m,short,confirm,cbc_after_1r,atr_1.5,none,1400-1530,5265,41.1,-0.0649,-0.1911,-1006.2,0.706,-11.22,11.0,-855.3,-150.9
3m,short,confirm,cbc_after_1r,atr_1.5,10m_ribbon,all,13095,43.1,-0.0344,-0.1325,-1735.6,0.784,-12.72,0.0,-1434.4,-301.2
3m,short,confirm,cbc_after_1r,atr_1.5,10m_ribbon,0930-1100,3540,42.4,-0.0578,-0.137,-484.8,0.779,-6.98,5.0,-357.3,-127.6
3m,short,confirm,cbc_after_1r,atr_1.5,10m_ribbon,1100-1400,5404,43.6,-0.0317,-0.1342,-725.3,0.784,-8.3,11.0,-620.7,-104.5
3m,short,confirm,cbc_after_1r,atr_1.5,10m_ribbon,1400-1530,3193,43.0,-0.0298,-0.1399,-446.7,0.776,-6.35,21.0,-398.3,-48.4
3m,short,confirm,close_against,candle_low,none,all,28216,28.1,-0.0473,-0.2044,-5768.0,0.673,-23.05,0.0,-4772.8,-995.2
3m,short,confirm,close_against,candle_low,none,0930-1100,6500,29.3,-0.0477,-0.1757,-1142.2,0.705,-9.82,5.0,-934.6,-207.6
3m,short,confirm,close_against,candle_low,none,1100-1400,13047,27.7,-0.0487,-0.2184,-2848.9,0.656,-16.79,0.0,-2311.2,-537.7
3m,short,confirm,close_against,candle_low,none,1400-1530,6679,26.7,-0.0589,-0.2232,-1490.6,0.654,-11.72,11.0,-1279.6,-211.0
3m,short,confirm,close_against,candle_low,10m_ribbon,all,18130,29.0,-0.0372,-0.1848,-3349.9,0.702,-16.7,0.0,-2581.8,-768.1
3m,short,confirm,close_against,candle_low,10m_ribbon,0930-1100,4626,29.9,-0.0368,-0.164,-758.6,0.726,-7.62,5.0,-604.5,-154.0
3m,short,confirm,close_against,candle_low,10m_ribbon,1100-1400,8275,27.9,-0.0579,-0.2172,-1797.4,0.655,-13.82,0.0,-1292.7,-504.8
3m,short,confirm,close_against,candle_low,10m_ribbon,1400-1530,4082,28.8,-0.02,-0.1712,-698.7,0.728,-6.7,16.0,-625.5,-73.2
3m,short,confirm,close_against,atr_1.0,none,all,27986,28.8,-0.037,-0.201,-5624.3,0.686,-23.12,0.0,-4821.4,-802.9
3m,short,confirm,close_against,atr_1.0,none,0930-1100,6405,30.4,-0.0394,-0.163,-1043.7,0.722,-9.74,11.0,-909.3,-134.5
3m,short,confirm,close_against,atr_1.0,none,1100-1400,12790,28.7,-0.0356,-0.2053,-2625.8,0.673,-16.39,0.0,-2169.9,-455.9
3m,short,confirm,close_against,atr_1.0,none,1400-1530,6767,26.5,-0.0496,-0.2382,-1612.0,0.661,-12.23,16.0,-1418.3,-193.7
3m,short,confirm,close_against,atr_1.0,10m_ribbon,all,17879,29.9,-0.023,-0.1703,-3044.9,0.723,-16.02,0.0,-2462.9,-581.9
3m,short,confirm,close_against,atr_1.0,10m_ribbon,0930-1100,4544,31.2,-0.0338,-0.1517,-689.4,0.736,-7.79,5.0,-578.8,-110.6
3m,short,confirm,close_against,atr_1.0,10m_ribbon,1100-1400,8092,29.2,-0.044,-0.1984,-1605.1,0.675,-13.17,0.0,-1206.3,-398.9
3m,short,confirm,close_against,atr_1.0,10m_ribbon,1400-1530,4089,29.1,0.0087,-0.1559,-637.7,0.764,-6.14,16.0,-602.7,-34.9
3m,short,confirm,close_against,atr_1.5,none,all,26479,31.2,-0.0303,-0.1392,-3685.7,0.696,-21.71,0.0,-3143.0,-542.8
3m,short,confirm,close_against,atr_1.5,none,0930-1100,6103,33.0,-0.0274,-0.1095,-668.4,0.736,-8.94,5.0,-577.7,-90.7
3m,short,confirm,close_against,atr_1.5,none,1100-1400,12162,30.8,-0.0289,-0.1417,-1723.4,0.681,-15.52,0.0,-1410.6,-312.8
3m,short,confirm,close_against,atr_1.5,none,1400-1530,6323,29.3,-0.0457,-0.1708,-1080.0,0.667,-11.69,16.0,-937.1,-142.8
3m,short,confirm,close_against,atr_1.5,10m_ribbon,all,16921,32.4,-0.0202,-0.1181,-1998.6,0.732,-15.06,0.0,-1636.3,-362.3
3m,short,confirm,close_against,atr_1.5,10m_ribbon,0930-1100,4327,33.7,-0.0222,-0.1007,-435.9,0.753,-7.04,11.0,-364.8,-71.1
3m,short,confirm,close_against,atr_1.5,10m_ribbon,1100-1400,7686,31.4,-0.0339,-0.1366,-1050.1,0.683,-12.42,0.0,-796.3,-253.8
3m,short,confirm,close_against,atr_1.5,10m_ribbon,1400-1530,3828,31.7,-0.005,-0.1143,-437.5,0.763,-6.03,16.0,-413.4,-24.1
3m,short,confirm,be_after_1r,candle_low,none,all,28609,25.5,-0.0426,-0.1999,-5719.8,0.663,-23.47,0.0,-4738.9,-980.9
3m,short,confirm,be_after_1r,candle_low,none,0930-1100,6545,27.0,-0.0399,-0.1682,-1100.9,0.704,-9.69,5.0,-908.0,-192.9
3m,short,confirm,be_after_1r,candle_low,none,1100-1400,13236,25.1,-0.0439,-0.2137,-2829.2,0.645,-17.16,0.0,-2280.6,-548.6
3m,short,confirm,be_after_1r,candle_low,none,1400-1530,6797,23.6,-0.0571,-0.2217,-1507.2,0.636,-12.18,11.0,-1305.0,-202.2
3m,short,confirm,be_after_1r,candle_low,10m_ribbon,all,18381,26.2,-0.0337,-0.1814,-3335.1,0.691,-17.14,0.0,-2565.7,-769.4
3m,short,confirm,be_after_1r,candle_low,10m_ribbon,0930-1100,4661,27.5,-0.0324,-0.1595,-743.5,0.72,-7.7,5.0,-593.6,-149.9
3m,short,confirm,be_after_1r,candle_low,10m_ribbon,1100-1400,8396,25.1,-0.0551,-0.2144,-1800.4,0.641,-14.36,0.0,-1292.5,-507.9
3m,short,confirm,be_after_1r,candle_low,10m_ribbon,1400-1530,4156,25.6,-0.0165,-0.168,-698.4,0.715,-6.86,16.0,-624.8,-73.6
3m,short,confirm,be_after_1r,atr_1.0,none,all,28347,25.9,-0.0357,-0.2004,-5679.7,0.675,-23.66,0.0,-4882.0,-797.7
3m,short,confirm,be_after_1r,atr_1.0,none,0930-1100,6448,28.1,-0.0366,-0.1602,-1032.7,0.718,-9.71,11.0,-900.3,-132.5
3m,short,confirm,be_after_1r,atr_1.0,none,1100-1400,12918,26.3,-0.0327,-0.2029,-2620.5,0.666,-16.55,0.0,-2164.9,-455.6
3m,short,confirm,be_after_1r,atr_1.0,none,1400-1530,6900,22.9,-0.0517,-0.2414,-1665.4,0.64,-12.88,16.0,-1479.2,-186.2
3m,short,confirm,be_after_1r,atr_1.0,10m_ribbon,all,18086,27.1,-0.022,-0.1698,-3071.6,0.714,-16.35,0.0,-2475.0,-596.5
3m,short,confirm,be_after_1r,atr_1.0,10m_ribbon,0930-1100,4573,28.8,-0.0328,-0.1507,-689.1,0.731,-7.84,5.0,-579.0,-110.1
3m,short,confirm,be_after_1r,atr_1.0,10m_ribbon,1100-1400,8167,26.6,-0.0441,-0.1989,-1624.5,0.665,-13.53,0.0,-1213.0,-411.5
3m,short,confirm,be_after_1r,atr_1.0,10m_ribbon,1400-1530,4162,25.4,0.0122,-0.1535,-638.8,0.755,-6.22,16.0,-601.9,-36.9
3m,short,confirm,be_after_1r,atr_1.5,none,all,26539,30.3,-0.0297,-0.1387,-3681.3,0.694,-21.79,0.0,-3151.2,-530.1
3m,short,confirm,be_after_1r,atr_1.5,none,0930-1100,6107,32.4,-0.027,-0.1091,-666.5,0.736,-8.94,11.0,-577.4,-89.1
3m,short,confirm,be_after_1r,atr_1.5,none,1100-1400,12177,30.1,-0.0276,-0.1405,-1711.2,0.68,-15.48,0.0,-1396.8,-314.5
3m,short,confirm,be_after_1r,atr_1.5,none,1400-1530,6349,27.7,-0.0474,-0.1728,-1096.9,0.658,-11.97,16.0,-961.4,-135.4
3m,short,confirm,be_after_1r,atr_1.5,10m_ribbon,all,16947,31.5,-0.0191,-0.1171,-1983.7,0.731,-15.01,0.0,-1624.4,-359.3
3m,short,confirm,be_after_1r,atr_1.5,10m_ribbon,0930-1100,4328,33.0,-0.0218,-0.1003,-434.0,0.753,-7.02,11.0,-364.9,-69.1
3m,short,confirm,be_after_1r,atr_1.5,10m_ribbon,1100-1400,7694,30.7,-0.0335,-0.1363,-1048.5,0.682,-12.49,0.0,-788.7,-259.8
3m,short,confirm,be_after_1r,atr_1.5,10m_ribbon,1400-1530,3840,30.2,-0.0026,-0.112,-430.2,0.764,-5.94,16.0,-409.8,-20.4
3m,short,pullback,cbc_after_1r,candle_low,none,all,23046,37.6,-0.0646,-0.2213,-5099.9,0.68,-24.56,0.0,-4158.3,-941.6
3m,short,pullback,cbc_after_1r,candle_low,none,0930-1100,4942,37.7,-0.0744,-0.2035,-1005.6,0.703,-10.15,5.0,-826.9,-178.7
3m,short,pullback,cbc_after_1r,candle_low,none,1100-1400,10729,37.7,-0.0628,-0.23,-2467.5,0.673,-17.61,0.0,-1967.0,-500.5
3m,short,pullback,cbc_after_1r,candle_low,none,1400-1530,5664,37.2,-0.0656,-0.2301,-1303.5,0.671,-12.39,11.0,-1119.4,-184.1
3m,short,pullback,cbc_after_1r,candle_low,10m_ribbon,all,14789,38.5,-0.0481,-0.195,-2883.4,0.713,-17.09,0.0,-2238.8,-644.6
3m,short,pullback,cbc_after_1r,candle_low,10m_ribbon,0930-1100,3524,37.5,-0.0729,-0.2007,-707.3,0.708,-8.28,11.0,-549.5,-157.8
3m,short,pullback,cbc_after_1r,candle_low,10m_ribbon,1100-1400,6835,38.2,-0.0562,-0.2131,-1456.7,0.692,-13.11,0.0,-1087.1,-369.6
3m,short,pullback,cbc_after_1r,candle_low,10m_ribbon,1400-1530,3426,39.4,-0.0224,-0.1736,-594.8,0.741,-7.1,21.0,-515.3,-79.5
3m,short,pullback,cbc_after_1r,atr_1.0,none,all,24772,37.9,-0.0582,-0.2258,-5594.5,0.678,-26.32,5.0,-4667.4,-927.2
3m,short,pullback,cbc_after_1r,atr_1.0,none,0930-1100,5073,38.9,-0.0648,-0.1915,-971.5,0.716,-10.48,11.0,-837.0,-134.4
3m,short,pullback,cbc_after_1r,atr_1.0,none,1100-1400,11399,38.5,-0.0557,-0.227,-2587.3,0.677,-18.09,0.0,-2107.7,-479.5
3m,short,pullback,cbc_after_1r,atr_1.0,none,1400-1530,6339,36.0,-0.0739,-0.2648,-1678.7,0.637,-15.09,11.0,-1403.2,-275.5
3m,short,pullback,cbc_after_1r,atr_1.0,10m_ribbon,all,15489,39.3,-0.0367,-0.1862,-2884.2,0.726,-17.29,0.0,-2299.2,-585.0
3m,short,pullback,cbc_after_1r,atr_1.0,10m_ribbon,0930-1100,3546,39.3,-0.0553,-0.1753,-621.6,0.738,-8.05,5.0,-493.8,-127.8
3m,short,pullback,cbc_after_1r,atr_1.0,10m_ribbon,1100-1400,7090,39.2,-0.0523,-0.2076,-1471.9,0.698,-13.32,0.0,-1139.4,-332.4
3m,short,pullback,cbc_after_1r,atr_1.0,10m_ribbon,1400-1530,3738,39.0,-0.0208,-0.1864,-696.7,0.729,-8.09,16.0,-588.1,-108.6
3m,short,pullback,cbc_after_1r,atr_1.5,none,all,18758,42.0,-0.0507,-0.1621,-3041.5,0.743,-18.44,5.0,-2546.2,-495.3
3m,short,pullback,cbc_after_1r,atr_1.5,none,0930-1100,4206,41.9,-0.0663,-0.1509,-634.8,0.76,-8.3,5.0,-523.5,-111.3
3m,short,pullback,cbc_after_1r,atr_1.5,none,1100-1400,8132,42.7,-0.0382,-0.1527,-1241.6,0.76,-11.35,0.0,-1030.6,-211.0
3m,short,pullback,cbc_after_1r,atr_1.5,none,1400-1530,4887,41.2,-0.0641,-0.1912,-934.5,0.706,-10.8,21.0,-795.0,-139.5
3m,short,pullback,cbc_after_1r,atr_1.5,10m_ribbon,all,11643,43.1,-0.0354,-0.1347,-1568.2,0.781,-12.18,0.0,-1259.7,-308.4
3m,short,pullback,cbc_after_1r,atr_1.5,10m_ribbon,0930-1100,2941,41.8,-0.0716,-0.152,-447.1,0.758,-7.06,5.0,-332.9,-114.2
3m,short,pullback,cbc_after_1r,atr_1.5,10m_ribbon,1100-1400,4950,43.7,-0.0278,-0.131,-648.5,0.789,-7.73,5.0,-520.7,-127.8
3m,short,pullback,cbc_after_1r,atr_1.5,10m_ribbon,1400-1530,2877,43.3,-0.0259,-0.1361,-391.5,0.781,-5.87,21.0,-352.4,-39.1
3m,short,pullback,close_against,candle_low,none,all,26131,28.1,-0.046,-0.2042,-5336.8,0.673,-22.23,0.0,-4406.6,-930.2
3m,short,pullback,close_against,candle_low,none,0930-1100,5423,28.9,-0.0463,-0.176,-954.7,0.706,-8.82,5.0,-811.9,-142.8
3m,short,pullback,close_against,candle_low,none,1100-1400,12419,27.9,-0.0448,-0.2143,-2661.0,0.66,-16.26,0.0,-2122.6,-538.3
3m,short,pullback,close_against,candle_low,none,1400-1530,6385,26.8,-0.0599,-0.2243,-1432.2,0.651,-11.56,5.0,-1230.1,-202.1
3m,short,pullback,close_against,candle_low,10m_ribbon,all,16540,29.0,-0.0334,-0.1819,-3009.4,0.706,-15.6,0.0,-2328.9,-680.5
3m,short,pullback,close_against,candle_low,10m_ribbon,0930-1100,3834,29.3,-0.0393,-0.1675,-642.1,0.723,-6.97,5.0,-524.1,-118.0
3m,short,pullback,close_against,candle_low,10m_ribbon,1100-1400,7807,28.1,-0.0508,-0.2107,-1644.9,0.665,-12.92,0.0,-1187.8,-457.1
3m,short,pullback,close_against,candle_low,10m_ribbon,1400-1530,3814,29.2,-0.0103,-0.1613,-615.1,0.742,-6.07,16.0,-551.0,-64.1
3m,short,pullback,close_against,atr_1.0,none,all,25925,28.7,-0.0375,-0.2039,-5285.8,0.683,-22.56,0.0,-4486.3,-799.6
3m,short,pullback,close_against,atr_1.0,none,0930-1100,5353,29.9,-0.0459,-0.172,-920.7,0.71,-9.38,0.0,-808.5,-112.2
3m,short,pullback,close_against,atr_1.0,none,1100-1400,12184,28.9,-0.0302,-0.2006,-2444.2,0.68,-15.54,0.0,-1995.7,-448.5
3m,short,pullback,close_against,atr_1.0,none,1400-1530,6453,26.6,-0.0541,-0.2437,-1572.4,0.654,-12.31,16.0,-1367.4,-205.0
3m,short,pullback,close_against,atr_1.0,10m_ribbon,all,16309,29.9,-0.021,-0.17,-2772.5,0.725,-15.18,0.0,-2235.2,-537.3
3m,short,pullback,close_against,atr_1.0,10m_ribbon,0930-1100,3773,30.6,-0.0397,-0.1596,-602.3,0.727,-7.38,5.0,-511.3,-90.9
3m,short,pullback,close_against,atr_1.0,10m_ribbon,1100-1400,7631,29.4,-0.0372,-0.1924,-1468.6,0.684,-12.3,5.0,-1110.9,-357.7
3m,short,pullback,close_against,atr_1.0,10m_ribbon,1400-1530,3813,29.4,0.0108,-0.1535,-585.3,0.767,-5.87,16.0,-537.3,-48.0
3m,short,pullback,close_against,atr_1.5,none,all,24568,31.1,-0.0308,-0.1413,-3472.0,0.693,-21.2,0.0,-2931.8,-540.2
3m,short,pullback,close_against,atr_1.5,none,0930-1100,5109,32.5,-0.0325,-0.1164,-594.6,0.724,-8.67,5.0,-509.3,-85.3
3m,short,pullback,close_against,atr_1.5,none,1100-1400,11591,31.0,-0.0243,-0.1377,-1595.8,0.689,-14.64,0.0,-1293.7,-302.1
3m,short,pullback,close_against,atr_1.5,none,1400-1530,6051,29.2,-0.0501,-0.1758,-1063.8,0.658,-11.85,16.0,-915.4,-148.5
3m,short,pullback,close_against,atr_1.5,10m_ribbon,all,15458,32.3,-0.0184,-0.1174,-1814.5,0.734,-14.23,0.0,-1478.2,-336.3
3m,short,pullback,close_against,atr_1.5,10m_ribbon,0930-1100,3598,33.1,-0.0251,-0.1048,-377.2,0.747,-6.6,11.0,-313.3,-63.9
3m,short,pullback,close_against,atr_1.5,10m_ribbon,1100-1400,7250,31.6,-0.0277,-0.131,-949.9,0.695,-11.49,5.0,-722.7,-227.2
3m,short,pullback,close_against,atr_1.5,10m_ribbon,1400-1530,3580,32.0,-0.0051,-0.1142,-408.8,0.763,-5.85,16.0,-379.8,-29.1
3m,short,pullback,be_after_1r,candle_low,none,all,26478,25.5,-0.0417,-0.2001,-5299.4,0.663,-22.7,0.0,-4376.6,-922.8
3m,short,pullback,be_after_1r,candle_low,none,0930-1100,5459,26.8,-0.0407,-0.1707,-931.9,0.702,-8.84,5.0,-794.2,-137.7
3m,short,pullback,be_after_1r,candle_low,none,1100-1400,12590,25.3,-0.0395,-0.2091,-2633.1,0.651,-16.55,0.0,-2084.2,-548.9
3m,short,pullback,be_after_1r,candle_low,none,1400-1530,6492,23.8,-0.0585,-0.2235,-1450.7,0.632,-12.05,5.0,-1260.2,-190.5
3m,short,pullback,be_after_1r,candle_low,10m_ribbon,all,16757,26.3,-0.0308,-0.1796,-3008.9,0.694,-16.1,0.0,-2321.1,-687.8
3m,short,pullback,be_after_1r,candle_low,10m_ribbon,0930-1100,3860,27.2,-0.0378,-0.1659,-640.4,0.712,-7.2,5.0,-521.4,-119.0
3m,short,pullback,be_after_1r,candle_low,10m_ribbon,1100-1400,7917,25.3,-0.0479,-0.2078,-1645.1,0.651,-13.41,0.0,-1176.5,-468.6
3m,short,pullback,be_after_1r,candle_low,10m_ribbon,1400-1530,3879,26.0,-0.0089,-0.1605,-622.4,0.727,-6.29,16.0,-560.4,-62.0
3m,short,pullback,be_after_1r,atr_1.0,none,all,26226,25.9,-0.0362,-0.2032,-5328.6,0.673,-23.06,0.0,-4536.0,-792.6
3m,short,pullback,be_after_1r,atr_1.0,none,0930-1100,5382,27.7,-0.0437,-0.1699,-914.3,0.706,-9.39,16.0,-805.4,-108.9
3m,short,pullback,be_after_1r,atr_1.0,none,1100-1400,12297,26.4,-0.0274,-0.1983,-2438.0,0.674,-15.69,0.0,-1988.8,-449.2
3m,short,pullback,be_after_1r,atr_1.0,none,1400-1530,6568,23.0,-0.0554,-0.246,-1615.4,0.634,-12.9,16.0,-1418.1,-197.3
3m,short,pullback,be_after_1r,atr_1.0,10m_ribbon,all,16474,27.1,-0.0196,-0.1691,-2785.0,0.717,-15.43,0.0,-2242.2,-542.8
3m,short,pullback,be_after_1r,atr_1.0,10m_ribbon,0930-1100,3790,28.5,-0.0379,-0.1578,-598.2,0.723,-7.38,5.0,-510.7,-87.5
3m,short,pullback,be_after_1r,atr_1.0,10m_ribbon,1100-1400,7697,26.8,-0.0369,-0.1925,-1481.6,0.675,-12.59,5.0,-1108.6,-372.9
3m,short,pullback,be_after_1r,atr_1.0,10m_ribbon,1400-1530,3874,25.8,0.0139,-0.1514,-586.7,0.758,-5.94,16.0,-539.9,-46.8
3m,short,pullback,be_after_1r,atr_1.5,none,all,24620,30.2,-0.0305,-0.1411,-3473.9,0.69,-21.31,0.0,-2944.7,-529.1
3m,short,pullback,be_after_1r,atr_1.5,none,0930-1100,5111,32.0,-0.0322,-0.116,-593.1,0.723,-8.66,5.0,-509.0,-84.0
3m,short,pullback,be_after_1r,atr_1.5,none,1100-1400,11606,30.3,-0.0232,-0.1367,-1586.2,0.689,-14.62,0.0,-1280.5,-305.7
3m,short,pullback,be_after_1r,atr_1.5,none,1400-1530,6074,27.6,-0.0523,-0.1783,-1082.9,0.648,-12.16,11.0,-943.0,-140.0
3m,short,pullback,be_after_1r,atr_1.5,10m_ribbon,all,15474,31.5,-0.0172,-0.1162,-1798.1,0.734,-14.15,0.0,-1464.5,-333.6
3m,short,pullback,be_after_1r,atr_1.5,10m_ribbon,0930-1100,3598,32.6,-0.0249,-0.1047,-376.7,0.746,-6.6,11.0,-314.3,-62.4
3m,short,pullback,be_after_1r,atr_1.5,10m_ribbon,1100-1400,7256,30.9,-0.0269,-0.1303,-945.2,0.695,-11.5,5.0,-710.4,-234.8
