tf,side,entry,exit,stop,htf,tod,n_trades,win_rate,avg_r_gross,avg_r_net,total_r_net,pf_net,t_stat,pos_years_pct,r_2008_2019,r_2020_2026
10m,short,confirm,close_against,candle_low,none,0930-1100,1634,32.7,-0.0498,-0.1261,-206.0,0.759,-4.05,16.0,-169.6,-36.4
10m,short,confirm,close_against,candle_low,none,1100-1400,4063,29.6,-0.0428,-0.1438,-584.3,0.752,-6.34,11.0,-465.3,-119.0
10m,short,confirm,close_against,candle_low,none,1400-1530,1985,30.4,0.0097,-0.0874,-173.5,0.851,-2.61,32.0,-168.6,-4.9
10m,short,confirm,close_against,atr_1.0,none,all,7747,31.7,-0.0281,-0.1123,-870.0,0.793,-7.5,5.0,-759.3,-110.8
10m,short,confirm,close_against,atr_1.0,none,0930-1100,1651,32.6,-0.0677,-0.1439,-237.5,0.736,-4.84,11.0,-212.9,-24.6
10m,short,confirm,close_against,atr_1.0,none,1100-1400,3931,31.6,-0.0344,-0.1164,-457.7,0.771,-5.97,11.0,-355.1,-102.6
10m,short,confirm,close_against,atr_1.0,none,1400-1530,1970,30.8,0.0229,-0.0711,-140.1,0.881,-2.01,42.0,-167.1,27.0
10m,short,confirm,close_against,atr_1.5,none,all,7438,33.9,-0.0201,-0.0762,-566.7,0.802,-6.99,11.0,-483.9,-82.8
10m,short,confirm,close_against,atr_1.5,none,0930-1100,1609,35.7,-0.0478,-0.0987,-158.9,0.75,-4.44,11.0,-144.1,-14.8
10m,short,confirm,close_against,atr_1.5,none,1100-1400,3786,32.9,-0.0265,-0.0813,-308.0,0.773,-5.83,5.0,-232.3,-75.7
10m,short,confirm,close_against,atr_1.5,none,1400-1530,1864,33.9,0.0175,-0.0451,-84.0,0.895,-1.73,32.0,-90.8,6.8
10m,short,confirm,be_after_1r,candle_low,none,all,7970,27.7,-0.0369,-0.1317,-1049.7,0.759,-8.59,11.0,-882.3,-167.4
10m,short,confirm,be_after_1r,candle_low,none,0930-1100,1638,30.5,-0.0565,-0.1327,-217.4,0.741,-4.32,16.0,-185.2,-32.2
10m,short,confirm,be_after_1r,candle_low,none,1100-1400,4109,26.6,-0.0451,-0.1463,-601.3,0.735,-6.73,11.0,-479.2,-122.1
10m,short,confirm,be_after_1r,candle_low,none,1400-1530,2021,27.0,-0.0017,-0.0988,-199.7,0.823,-3.09,37.0,-202.2,2.6
10m,short,confirm,be_after_1r,atr_1.0,none,all,7779,29.2,-0.0298,-0.114,-887.1,0.784,-7.77,11.0,-769.2,-117.9
