date,pdc,atr_14,dn_open_t,up_open_t,up_open_hhmm,reversal_min,dn_closed_first_leg,dn_close_ever,up_close_ever,neither_close_ever,up_close_after,dn_close_after,dn_reopen_after,pdc_revert_after,up_trig_revert_after,first_resolution_after_up,close,close_zone,close_minus_pdc_atr
2012-11-13,1380.03,16.48746300110559,2012-11-13 09:30:00,2012-11-13 10:56:00,10:30,86.0,False,False,False,True,False,False,False,True,True,neither,1374.78,-38.2_to_pdc,-0.3184237623246193
2012-11-16,1353.33,17.004123984485773,2012-11-16 10:03:00,2012-11-16 12:30:00,12:30,147.0,False,False,False,True,False,False,False,True,True,neither,1359.87,in_up_gate(+38.2..61.8),0.38461258021683037
2012-11-28,1398.94,15.924758784705745,2012-11-28 09:31:00,2012-11-28 12:36:00,12:30,185.0,True,True,True,False,True,False,False,False,True,up_close,1409.7,above_up_gate(+61.8),0.675677424409968
2012-12-05,1407.05,15.060680117379931,2012-12-05 10:44:00,2012-12-05 12:03:00,12:00,79.0,False,False,False,True,False,False,False,False,True,neither,1409.6,pdc_to_+38.2,0.16931506280763978
2013-01-24,1494.81,11.708161307245835,2013-01-24 09:30:00,2013-01-24 10:04:00,10:00,34.0,False,False,True,False,True,False,False,True,True,up_close,1495.32,pdc_to_+38.2,0.04355935886229779
2013-09-06,1655.08,14.411040869711723,2013-09-06 09:45:00,2013-09-06 11:05:00,11:00,80.0,True,True,True,False,True,False,False,True,True,up_close,1655.04,-38.2_to_pdc,-0.0027756496120993775
2013-10-17,1721.54,17.21903667077526,2013-10-17 09:31:00,2013-10-17 12:46:00,12:30,195.0,False,False,True,False,True,False,False,False,False,up_close,1732.89,above_up_gate(+61.8),0.6591541801675669
2014-04-08,1845.04,18.37446768100641,2014-04-08 10:29:00,2014-04-08 11:17:00,11:00,48.0,False,False,False,True,False,False,False,False,True,neither,1852.14,in_up_gate(+38.2..61.8),0.3864057518977471
2014-05-07,1867.72,16.75470396203352,2014-05-07 10:14:00,2014-05-07 11:43:00,11:30,89.0,False,False,True,False,True,False,False,False,True,up_close,1878.26,above_up_gate(+61.8),0.6290770653951157
2014-06-05,1927.88,12.682025002919971,2014-06-05 10:16:00,2014-06-05 11:19:00,11:00,63.0,False,False,True,False,True,False,False,False,False,up_close,1940.12,above_up_gate(+61.8),0.9651455502714735
2014-06-16,1936.16,12.225161138179677,2014-06-16 09:31:00,2014-06-16 10:14:00,10:00,43.0,False,False,False,True,False,False,True,True,True,neither,1937.87,pdc_to_+38.2,0.13987545690988148
2014-08-06,1920.21,16.632171481061434,2014-08-06 09:31:00,2014-08-06 11:05:00,11:00,94.0,False,False,False,True,False,False,False,True,True,neither,1920.0,-38.2_to_pdc,-0.012626132446936182
2014-09-05,1997.65,13.155041221616072,2014-09-05 09:40:00,2014-09-05 12:43:00,12:30,183.0,False,False,True,False,True,False,False,False,False,up_close,2007.45,above_up_gate(+61.8),0.7449615576952212
2014-09-30,1977.8,16.48676597197441,2014-09-30 10:00:00,2014-09-30 11:07:00,11:00,67.0,False,False,False,True,False,False,True,True,True,neither,1972.75,-38.2_to_pdc,-0.3063062827836805
2014-12-16,1989.63,20.146113484875013,2014-12-16 09:30:00,2014-12-16 10:56:00,10:30,86.0,True,True,True,False,True,True,True,True,True,up_close,1973.61,below_dn_gate(-61.8),-0.7951905965399955
2015-01-21,2022.55,27.162694969494225,2015-01-21 09:35:00,2015-01-21 10:50:00,10:30,75.0,False,False,False,True,False,False,False,False,True,neither,2032.11,pdc_to_+38.2,0.35195329516222723
2015-02-02,1994.99,28.529042558734478,2015-02-02 10:05:00,2015-02-02 11:33:00,11:30,88.0,False,False,True,False,True,False,False,True,True,up_close,2020.74,above_up_gate(+61.8),0.9025890002087138
2015-04-06,2066.96,20.480071182344037,2015-04-06 09:30:00,2015-04-06 10:22:00,10:00,52.0,False,False,True,False,True,False,False,False,False,up_close,2080.69,above_up_gate(+61.8),0.6704078261132566
2015-08-17,2091.54,20.001179211302762,2015-08-17 09:31:00,2015-08-17 12:59:00,12:30,208.0,False,False,False,True,False,False,False,False,False,neither,2102.35,in_up_gate(+38.2..61.8),0.5404681336933955
2016-03-29,2037.05,21.39095272679756,2016-03-29 09:37:00,2016-03-29 12:30:00,12:30,173.0,False,False,True,False,True,False,False,False,False,up_close,2055.09,above_up_gate(+61.8),0.8433471959105656
2016-09-12,2127.81,15.992701562047397,2016-09-12 09:30:00,2016-09-12 10:21:00,10:00,51.0,False,False,True,False,True,False,False,False,True,up_close,2159.17,above_up_gate(+61.8),1.9608944666622914
2016-11-08,2131.52,19.342175929515747,2016-11-08 09:50:00,2016-11-08 11:33:00,11:30,103.0,False,False,True,False,True,False,False,False,True,up_close,2139.39,in_up_gate(+38.2..61.8),0.40688286719543476
2016-11-09,2139.56,19.625591934550332,2016-11-09 09:30:00,2016-11-09 11:22:00,11:00,112.0,True,True,True,False,True,False,False,False,False,up_close,2162.84,above_up_gate(+61.8),1.186206259542999
2017-03-22,2344.02,15.314513073006465,2017-03-22 10:11:00,2017-03-22 11:23:00,11:00,72.0,False,False,False,True,False,False,False,True,True,neither,2348.57,pdc_to_+38.2,0.2971037980972483
2017-06-08,2433.14,12.549817225283208,2017-06-08 10:28:00,2017-06-08 12:16:00,12:00,108.0,False,False,False,True,False,False,True,True,True,neither,2433.79,pdc_to_+38.2,0.05179358299263379
2017-08-08,2480.91,11.685350846629815,2017-08-08 09:30:00,2017-08-08 11:00:00,11:00,90.0,False,True,True,False,True,True,True,True,True,up_close,2474.92,in_dn_gate(-38.2..61.8),-0.5126076297253295
2017-08-18,2430.01,15.696049022855226,2017-08-18 09:38:00,2017-08-18 12:40:00,12:30,182.0,False,False,True,False,True,False,False,True,True,up_close,2425.4,-38.2_to_pdc,-0.29370448533178284
2018-02-01,2823.81,20.925324051943814,2018-02-01 09:30:00,2018-02-01 11:43:00,11:30,133.0,False,False,False,True,False,False,True,True,True,neither,2822.0,-38.2_to_pdc,-0.08649806308886333
2018-02-06,2648.94,31.243737952667857,2018-02-06 09:30:00,2018-02-06 09:50:00,09:30,20.0,True,True,True,False,True,True,True,True,True,up_close,2694.98,above_up_gate(+61.8),1.473575283141455
2018-03-28,2612.62,45.65834700147065,2018-03-28 10:47:00,2018-03-28 12:19:00,12:00,92.0,False,False,False,True,False,False,False,True,True,neither,2604.43,-38.2_to_pdc,-0.17937574480601007
2018-07-17,2798.43,23.115206634047276,2018-07-17 09:30:00,2018-07-17 12:16:00,12:00,166.0,False,False,True,False,True,False,False,False,False,up_close,2809.83,in_up_gate(+38.2..61.8),0.4931818339537832
2018-08-02,2813.36,21.640328810824855,2018-08-02 09:30:00,2018-08-02 12:27:00,12:00,177.0,True,True,True,False,True,False,False,False,False,up_close,2827.41,above_up_gate(+61.8),0.6492507633697174
2018-09-11,2877.13,19.046254034303786,2018-09-11 09:30:00,2018-09-11 11:49:00,11:30,139.0,False,False,True,False,True,False,False,False,False,up_close,2888.06,in_up_gate(+38.2..61.8),0.5738661250823419
2018-10-09,2884.43,21.75251079075642,2018-10-09 09:46:00,2018-10-09 10:31:00,10:30,45.0,False,False,False,True,False,False,False,True,True,neither,2880.69,-38.2_to_pdc,-0.1719341751384888
